Length	FoldEnrichment
11186	6.69008
23889	10.182
22854	7.51466
17263	7.06994
8644	8.07019
13727	6.52368
2524	7.39
12261	7.06483
44529	6.36071
14647	7.33668
23152	6.54142
11556	6.70376
30582	6.75145
5670	7.42441
14006	6.8145
18351	6.25769
8753	7.23934
25630	7.30806
25576	5.59965
10727	6.37081
4750	6.65757
27166	7.28031
1382	5.77756
1376	9.16343
9312	7.24727
4671	5.97142
5775	5.60887
1968	5.63745
3386	8.45957
1437	5.31303
17105	7.0029
13203	6.24821
17938	6.89973
5987	6.16969
5063	5.70119
42265	6.71788
6895	5.34772
2885	6.21492
11110	5.34407
37620	5.75905
14063	5.75906
5172	6.08172
30395	5.5282
21795	6.40808
4966	5.17818
6103	6.2675
20286	5.76431
39026	6.70358
10235	5.84172
15303	5.60396
8377	7.31177
14207	6.51943
17909	5.62681
11635	5.88127
7972	5.54414
11741	5.49455
1503	5.56011
18432	5.45183
22972	5.7456
17792	5.33057
22515	6.03953
10708	5.108
7271	5.55746
8000	5.73416
36622	6.31876
27752	6.31188
17978	5.33086
7263	9.23374
27842	6.10933
14770	6.09018
33978	6.12085
6170	5.6642
25400	9.57601
12309	6.81424
9521	6.15284
42107	6.63535
27531	5.93578
5066	6.04382
24394	6.08267
18943	5.91624
1834	6.99759
3417	5.97909
2007	7.62944
14277	5.27204
2918	5.63129
5381	5.32771
14959	5.25583
18112	5.47404
1239	7.10092
5185	5.62315
1159	5.05879
11420	5.09643
5733	6.29995
23850	5.05873
15298	5.48217
4915	7.11061
9147	5.26145
7447	5.71647
23648	6.49848
9406	5.48602
1683	5.09416
45118	6.472
10478	5.89498
29414	6.76628
14590	5.55661
18556	5.05936
12570	6.66169
19557	6.44094
3270	6.71521
4678	5.39589
5578	5.01154
4446	5.04564
1154	6.87804
1907	5.50897
2598	5.13861
1205	5.61591
1423	7.63216
10001	5.0054
7753	5.65186
1872	5.87556
2200	8.367
3943	5.15562
1060	5.93669
2197	5.22427
8749	5.8685
2304	6.20157
16470	5.01904
16468	5.2216
15052	5.3857
14489	5.16898
9831	5.30193
22409	6.85717
5274	7.43567
1945	6.18675
1356	7.05281
1351	8.66401
1487	5.44051
1089	6.36005
2345	5.03947
3067	5.14669
1596	5.39859
6163	6.74197
10049	5.79351
6098	5.54161
1114	5.20965
1124	5.28324
1554	5.60155
5328	5.69663
1307	6.78116
7506	5.26557
1959	6.35623
4998	5.88723
1559	6.30971
1007	5.64449
8853	6.59589
1175	10.9257
5287	6.52569
7583	6.17166
8758	5.14613
5158	5.39577
1096	5.03224
1245	5.2923
5836	5.14971
9665	5.69759
1735	5.4968
1497	6.43449
6934	6.21281
1379	5.38002
