Sample	Total Reads	Total Passed QC	Mapped	Duplicates	Paired in Sequencing	Properly Paired	Self and mate mapped	Singletons	Mate mapped to diff chr	Diff chr (mapQ >= 5)
GFP_1_flagstat	126.654832	126.654832	126.654832	69.886252	126.654832	126.654832	126.654832	0.0	0.0	0.0
GFP_1_prededup_flagstat	126.654832	126.654832	126.654832	0.0	126.654832	126.654832	126.654832	0.0	0.0	0.0
GFP_1_prefilter_flagstat	170.264846	170.264846	146.268014	0.0	170.264846	146.268014	146.268014	0.0	0.0	0.0
GFP_2_flagstat	145.099854	145.099854	145.099854	114.08320599999999	145.099854	145.099854	145.099854	0.0	0.0	0.0
GFP_2_prededup_flagstat	145.099854	145.099854	145.099854	0.0	145.099854	145.099854	145.099854	0.0	0.0	0.0
GFP_2_prefilter_flagstat	180.01508199999998	180.01508199999998	162.111448	0.0	180.01508199999998	162.111448	162.111448	0.0	0.0	0.0
GFP_3_flagstat	102.161808	102.161808	102.161808	49.431714	102.161808	102.161808	102.161808	0.0	0.0	0.0
GFP_3_prededup_flagstat	102.161808	102.161808	102.161808	0.0	102.161808	102.161808	102.161808	0.0	0.0	0.0
GFP_3_prefilter_flagstat	150.60045599999998	150.60045599999998	119.825998	0.0	150.60045599999998	119.825998	119.825998	0.0	0.0	0.0
YAF_1_flagstat	120.116812	120.116812	120.116812	99.013024	120.116812	120.116812	120.116812	0.0	0.0	0.0
YAF_1_prededup_flagstat	120.116812	120.116812	120.116812	0.0	120.116812	120.116812	120.116812	0.0	0.0	0.0
YAF_1_prefilter_flagstat	179.376648	179.376648	138.25923	0.0	179.376648	138.25923	138.25923	0.0	0.0	0.0
YAF_2_flagstat	146.442376	146.442376	146.442376	50.25054	146.442376	146.442376	146.442376	0.0	0.0	0.0
YAF_2_prededup_flagstat	146.442376	146.442376	146.442376	0.0	146.442376	146.442376	146.442376	0.0	0.0	0.0
YAF_2_prefilter_flagstat	263.923796	263.923796	198.94672	0.0	263.923796	198.94672	198.94672	0.0	0.0	0.0
YAF_3_flagstat	129.580782	129.580782	129.580782	60.475781999999995	129.580782	129.580782	129.580782	0.0	0.0	0.0
YAF_3_prededup_flagstat	129.580782	129.580782	129.580782	0.0	129.580782	129.580782	129.580782	0.0	0.0	0.0
YAF_3_prefilter_flagstat	186.77709199999998	186.77709199999998	155.92779	0.0	186.77709199999998	155.92779	155.92779	0.0	0.0	0.0
