Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
GFP-1_R1_paired - nextera_transposase_sequence	(1, 0.0004925110837116082)	(2, 0.0004983327277271118)	(3, 0.000506483029348817)	(4, 0.0005146333309705221)	(5, 0.0005169619885767235)	(6, 0.000519290646182925)	(7, 0.0005262766190015294)	(8, 0.0005286052766077308)	(9, 0.0005810000727472636)	(10, 0.0006217515808557891)	(12, 0.0006706533905860197)	(14, 0.0007387666255674124)	(16, 0.0008435562178464779)	(18, 0.0009623177557627524)	(20, 0.0012539821209394848)	(22, 0.0015858158298231923)	(24, 0.00210918162681697)	(26, 0.0030266727236603445)	(28, 0.008364538121475635)	(30, 0.029572205105553855)	(32, 0.0761372069279613)	(34, 0.16780597792488477)	(36, 0.31850330841700747)	(38, 0.5134428047693516)	(40, 0.8387783946029541)	(42, 1.5659814886623717)	(44, 2.7339680306980414)	(46, 3.8111631234899237)	(48, 4.53684502196809)	(50, 5.223294861425778)	(52, 6.550282144812883)	(54, 8.854691439360964)	(56, 10.694314647656872)	(58, 11.591949863256568)	(60, 12.189327967112648)	(62, 13.062125720684598)	(64, 14.607131825959112)	(66, 16.059530129057)	(68, 16.816280395152702)	(70, 17.274306970538476)	(72, 17.79375945842503)	(74, 18.55473507374719)	(76, 19.394239427358876)	(78, 19.979598164980548)	(80, 20.34679428610763)	(82, 20.683837784220813)	(84, 21.108388160024234)	(86, 21.616769627486505)	(88, 22.042656070591484)	(90, 22.341649885583735)	(92, 22.590083886630143)	(94, 22.866735978384096)	(96, 23.197382654053044)	(98, 23.51047125137123)	(100, 23.761897577441605)	(102, 23.97128755856923)	(104, 24.181498391503048)	(106, 24.41458595676018)	(108, 24.652244094733888)	(110, 24.869337857387233)	(112, 25.06218738353801)	(114, 25.238180339441897)	(116, 25.42533280475911)	(118, 25.6265241646197)	(120, 25.829353152941856)	(122, 26.032727629308262)	(124, 26.21287782120362)	(126, 26.39045251778652)	(128, 26.59639608565697)	(130, 26.85123855243564)	(132, 27.179101900100775)	(134, 27.44585603269957)	(136, 27.67515720068902)	(138, 27.945146420867232)
GFP-1_R1_paired - polya	(1, 1.63006032434102e-05)	(2, 2.4450904865115303e-05)	(3, 0.00022238680139223917)	(4, 0.0004063507522821543)	(5, 0.0024823490082107537)	(6, 0.0028782208012650013)	(7, 0.003574489425519237)	(8, 0.0037281808275285333)	(9, 0.0038609143110820165)	(10, 0.005888010757280385)	(12, 0.009552735665039929)	(14, 0.01420422923342734)	(16, 0.028714676942070173)	(18, 0.05313239843629711)	(20, 0.059900059604320086)	(22, 0.06608439204198961)	(24, 0.07367174068739551)	(26, 0.08969174068925843)	(28, 0.10034360274442544)	(30, 0.1102328294335615)	(32, 0.11893327641473168)	(34, 0.12919741697846615)	(36, 0.1546438229702326)	(38, 0.16811394289330492)	(40, 0.1818215858922098)	(42, 0.19626974200988673)	(44, 0.21093155246293266)	(46, 0.2206164394471245)	(48, 0.22878537032967922)	(50, 0.24108533980563535)	(52, 0.24945104225591408)	(54, 0.2587301606522253)	(56, 0.27319461737314565)	(58, 0.28198297117895)	(60, 0.28821795191955435)	(62, 0.2951916992857262)	(64, 0.30114782327798795)	(66, 0.31214025150806196)	(68, 0.3223508329468538)	(70, 0.328722040157421)	(72, 0.33725889894175554)	(74, 0.34388392983139865)	(76, 0.3494383603865907)	(78, 0.3561798241565439)	(80, 0.365497947567759)	(82, 0.3728582520965603)	(84, 0.37870434701692907)	(86, 0.3883391678625876)	(88, 0.3956074904159439)	(90, 0.4007107435599344)	(92, 0.406046862464545)	(94, 0.41169269283078047)	(96, 0.4168646413741539)	(98, 0.4246196533672063)	(100, 0.43234264631817343)	(102, 0.4382259997602414)	(104, 0.4478200690977914)	(106, 0.45446372924828415)	(108, 0.46081106771838776)	(110, 0.4690772200560014)	(112, 0.48222423873621334)	(114, 0.4922182550176284)	(116, 0.49892653541669324)	(118, 0.5056668348578434)	(120, 0.5139976074440291)	(122, 0.5230322167916892)	(124, 0.5296537546949229)	(126, 0.5442684098314434)	(128, 0.560972453005128)	(130, 0.5707178850870811)	(132, 0.5776852286448358)	(134, 0.5856416695208246)	(136, 0.5931166604367313)	(138, 0.6013746624727232)
GFP-1_R1_paired - polyg	(1, 0.0)	(2, 0.0)	(3, 2.561523366821603e-05)	(4, 7.917435861084955e-05)	(5, 0.0002666312959100669)	(6, 0.0003492986409302186)	(7, 0.0004261443419348667)	(8, 0.0004715531652557951)	(9, 0.000532098263017033)	(10, 0.0006555171161457102)	(12, 0.000867424958310043)	(14, 0.0010310131551456952)	(16, 0.0012324420380821215)	(18, 0.0013966123993193241)	(20, 0.0015922196382402464)	(22, 0.001787826877161169)	(24, 0.001958983211216976)	(26, 0.002166233738168906)	(28, 0.0023990994987890518)	(30, 0.0027105574536184967)	(32, 0.0030336586964789486)	(34, 0.003349191802119246)	(36, 0.0038207449673750412)	(38, 0.0043540075591951746)	(40, 0.004944322262367244)	(42, 0.0056894926963517115)	(44, 0.006292032851956338)	(46, 0.006908544953198174)	(48, 0.007552418781312877)	(50, 0.008063559125874097)	(52, 0.008652127335841515)	(54, 0.009244770696619786)	(56, 0.009826935098170151)	(58, 0.010463240789064698)	(60, 0.011204918236639862)	(62, 0.011891872230469294)	(64, 0.01261957773240725)	(66, 0.013461969621450624)	(68, 0.01439692565034051)	(70, 0.015329553021624195)	(72, 0.016575384840941974)	(74, 0.019578770988540304)	(76, 0.02829784723056011)	(78, 0.04604920416263382)	(80, 0.08001034669147587)	(82, 0.1354580129527388)	(84, 0.20846433972916223)	(86, 0.3324449815053355)	(88, 0.5867675754734232)	(90, 0.9572226529203834)	(92, 1.296222805587176)	(94, 1.5415934575526236)	(96, 1.7941328819587625)	(98, 2.26789477895404)	(100, 2.987040717696)	(102, 3.532013546453319)	(104, 3.8504149761000557)	(106, 4.163443028320482)	(108, 4.706264759614072)	(110, 5.642951563269767)	(112, 6.627938218664489)	(114, 7.4494164337465705)	(116, 8.204335210634998)	(118, 9.076280093358678)	(120, 10.250652978879355)	(122, 11.522756131145897)	(124, 12.737483488653243)	(126, 13.879482793968105)	(128, 14.844695071135366)	(130, 15.75283602552544)	(132, 16.671450699663808)	(134, 17.53316113220823)	(136, 18.345807331154393)	(138, 19.047723532268066)
GFP-1_R2_paired - nextera_transposase_sequence	(1, 0.0005041543717426156)	(2, 0.0005041543717426156)	(3, 0.0005123046733643207)	(4, 0.0005390842358356374)	(5, 0.0005402485646387381)	(6, 0.0005623708118976519)	(7, 0.0005821644015503644)	(8, 0.0006159299368402854)	(9, 0.000712569227497646)	(10, 0.0008784860819394998)	(12, 0.001209737626421657)	(14, 0.001495580347582886)	(16, 0.0017494040266588448)	(18, 0.002036993241024725)	(20, 0.0026226506289843913)	(22, 0.003478432299263427)	(24, 0.004472186932709898)	(26, 0.005663295298281945)	(28, 0.011257895197180946)	(30, 0.03295166945655372)	(32, 0.08031481867348672)	(34, 0.17332897160239308)	(36, 0.3258211149444955)	(38, 0.5227050403980179)	(40, 0.8512483560841628)	(42, 1.5866174702041274)	(44, 2.7681969688515964)	(46, 3.8574684799892403)	(48, 4.591285543814671)	(50, 5.285176608652975)	(52, 6.6253825169416825)	(54, 8.952209216100265)	(56, 10.808431095813177)	(58, 11.714606663183616)	(60, 12.31782096516524)	(62, 13.199089792944148)	(64, 14.760678851196822)	(66, 16.230089162436816)	(68, 16.996476578035786)	(70, 17.459979573946942)	(72, 17.98601808770824)	(74, 18.75719438767436)	(76, 19.607694080338128)	(78, 20.20066519967447)	(80, 20.573078678168248)	(82, 20.91533429416851)	(84, 21.34665465979756)	(86, 21.863469942945095)	(88, 22.29661830479501)	(90, 22.600767767727394)	(92, 22.853845112040567)	(94, 23.13615642394199)	(96, 23.472773195548836)	(98, 23.79154488175496)	(100, 24.047589518022832)	(102, 24.26113265999112)	(104, 24.47578366081556)	(106, 24.71417881892163)	(108, 24.956931477573306)	(110, 25.178435717732793)	(112, 25.375699796540527)	(114, 25.555987961399055)	(116, 25.747722642720863)	(118, 25.953989893998575)	(120, 26.162240579392368)	(122, 26.37096107145821)	(124, 26.555852992404198)	(126, 26.73852046317186)	(128, 26.950680382522066)	(130, 27.213555553713327)	(132, 27.55230886867386)	(134, 27.82776403041823)	(136, 28.06506588377819)	(138, 28.344606093128235)
GFP-1_R2_paired - polya	(1, 2.3286576062014575e-06)	(2, 5.821644015503644e-06)	(3, 1.5136274440309473e-05)	(4, 3.1436877683719677e-05)	(5, 0.0001304048259472816)	(6, 0.0003760782034015354)	(7, 0.0004599098772247878)	(8, 0.0005926433607782709)	(9, 0.0007288698307410562)	(10, 0.0023985173343875014)	(12, 0.0057593524245377545)	(14, 0.010292666619410442)	(16, 0.02430245294271996)	(18, 0.04823756014806164)	(20, 0.05491906098465517)	(22, 0.06065745549073712)	(24, 0.06762770987049962)	(26, 0.08286062360146645)	(28, 0.0931730838105296)	(30, 0.10309258304854627)	(32, 0.11149845484253199)	(34, 0.12113036486618275)	(36, 0.14448563632758027)	(38, 0.15689971002624026)	(40, 0.16894643798752193)	(42, 0.18153923615745787)	(44, 0.19452208447643254)	(46, 0.2034670405062539)	(48, 0.210946688737373)	(50, 0.2221521891384144)	(52, 0.22992641255671795)	(54, 0.2383037582950277)	(56, 0.25156837418435274)	(58, 0.2597978501646687)	(60, 0.2656363769478173)	(62, 0.27203378155645425)	(64, 0.2773442852273966)	(66, 0.2873336441935994)	(68, 0.296744331744661)	(70, 0.3026480609407833)	(72, 0.31082339563175504)	(74, 0.31704382226232064)	(76, 0.3221546435435313)	(78, 0.32825339781417295)	(80, 0.33715993099349195)	(82, 0.3438571502689274)	(84, 0.34921946657160774)	(86, 0.35843862203455934)	(88, 0.36520220805177145)	(90, 0.37006095214711077)	(92, 0.3751339327422207)	(94, 0.3803361538344747)	(96, 0.38517044702494896)	(98, 0.39251619744371147)	(100, 0.39970592780285846)	(102, 0.4054239465548861)	(104, 0.41373376122261607)	(106, 0.419952441359977)	(108, 0.4257618599230481)	(110, 0.43331020355355016)	(112, 0.44577317906194036)	(114, 0.45513962211848413)	(116, 0.4614171008604017)	(118, 0.4676864293006976)	(120, 0.4754327088277267)	(122, 0.4840283662166179)	(124, 0.4903099201093463)	(126, 0.5035099157500993)	(128, 0.5190816491627684)	(130, 0.5281313947848688)	(132, 0.5344438033908794)	(134, 0.5418186620297194)	(136, 0.5485164634695564)	(138, 0.556330856231567)
GFP-1_R2_paired - polyg	(1, 0.14272691767049664)	(2, 0.1431926491917369)	(3, 0.1446096373451105)	(4, 0.14545028274094923)	(5, 0.14674734502760345)	(6, 0.1594676372014789)	(7, 0.16084969549075948)	(8, 0.162185180627916)	(9, 0.16330992225171131)	(10, 0.16484159679219032)	(12, 0.16711320228703985)	(14, 0.16831362528303667)	(16, 0.1691723177753235)	(18, 0.1699169060449064)	(20, 0.17072087508344747)	(22, 0.1713827960080102)	(24, 0.17203482013774662)	(26, 0.1726425997729652)	(28, 0.17326202269621477)	(30, 0.17384185844015895)	(32, 0.1744286801569217)	(34, 0.1749625249131434)	(36, 0.17553421035546585)	(38, 0.17606223346767202)	(40, 0.17662227562196348)	(42, 0.177200364872703)	(44, 0.17786694311247817)	(46, 0.17846890110368124)	(48, 0.17904582602561764)	(50, 0.1795732669734223)	(52, 0.18034929212068893)	(54, 0.18102926014169973)	(56, 0.18968080531313972)	(58, 0.19082650485539082)	(60, 0.19158506507061096)	(62, 0.19214976454011481)	(64, 0.1927575441753334)	(66, 0.19346079877240624)	(68, 0.1945814652453907)	(70, 0.19533595030979994)	(72, 0.1961410836771441)	(74, 0.19715637839344793)	(76, 0.19824444365994556)	(78, 0.19916775640080445)	(80, 0.20008233667564007)	(82, 0.20105862637704003)	(84, 0.20199416457033148)	(86, 0.20308106550802602)	(88, 0.2044532270024802)	(90, 0.2059907231869747)	(92, 0.2080376132228258)	(94, 0.2114013591349838)	(96, 0.2243981793995957)	(98, 0.2572625241959169)	(100, 0.3265598815700629)	(102, 0.4426783931032986)	(104, 0.6224536711240589)	(106, 0.8593916717330494)	(108, 1.3535072005353306)	(110, 2.319874491875267)	(112, 3.5154148750363152)	(114, 4.4503965191598684)	(116, 5.1279404076026385)	(118, 6.038723224046947)	(120, 7.861445035437045)	(122, 10.157674337978943)	(124, 11.56936130231201)	(126, 12.302067596459285)	(128, 13.002953948746619)	(130, 14.20618588798095)	(132, 15.84982403265933)	(134, 17.00541163727078)	(136, 17.623601536317885)	(138, 18.114288116795034)
GFP-2_R1_paired - nextera_transposase_sequence	(1, 0.0006900104957529524)	(2, 0.0006988144574212517)	(3, 0.0007087189142980883)	(4, 0.0007263268376346867)	(5, 0.0007263268376346867)	(6, 0.0007340303040944485)	(7, 0.0007417337705542103)	(8, 0.0007472362465968974)	(9, 0.000797859026189618)	(10, 0.0008132659591091416)	(12, 0.0008473813105738012)	(14, 0.0008825971572469981)	(16, 0.0009453253841336302)	(18, 0.0010185083155013677)	(20, 0.0011461657596917064)	(22, 0.0017503376291787413)	(24, 0.0020359161357941975)	(26, 0.0025536991314110465)	(28, 0.005444149796634538)	(30, 0.01734325423894522)	(32, 0.04267500319666346)	(34, 0.09364113729444772)	(36, 0.18398574119172165)	(38, 0.30137006261036386)	(40, 0.48615861505671354)	(42, 0.8538181070485364)	(44, 1.3854816487306674)	(46, 1.9088821221394952)	(48, 2.2727333504621745)	(50, 2.6201646400258713)	(52, 3.3028172248145427)	(54, 4.449361554857986)	(56, 5.367807893770694)	(58, 5.836832898925689)	(60, 6.1693557798993295)	(62, 6.671364827444608)	(64, 7.550262670048107)	(66, 8.35522374206602)	(68, 8.78407021740492)	(70, 9.062324378159955)	(72, 9.385459484757167)	(74, 9.868614298142178)	(76, 10.381400495264664)	(78, 10.728988055147973)	(80, 10.962459214134391)	(82, 11.19280716771898)	(84, 11.488862388719713)	(86, 11.834158167331243)	(88, 12.10985752845966)	(90, 12.310599959944176)	(92, 12.489750675437188)	(94, 12.699189220059566)	(96, 12.941747167982879)	(98, 13.165756269166295)	(100, 13.342122181534101)	(102, 13.4963411780777)	(104, 13.662889022442542)	(106, 13.854703686547799)	(108, 14.042063546048896)	(110, 14.20587610957292)	(112, 14.353088803371364)	(114, 14.496693523628618)	(116, 14.65651899301211)	(118, 14.829247768715701)	(120, 14.995980496275578)	(122, 15.167172430420447)	(124, 15.322714222204706)	(126, 15.485181430336294)	(128, 15.682746181906158)	(130, 15.933615619891949)	(132, 16.277185271768886)	(134, 16.548905792470833)	(136, 16.7914703433654)	(138, 17.089900983273758)
GFP-2_R1_paired - polya	(1, 2.5311389796360295e-05)	(2, 2.7512380213435104e-05)	(3, 0.00020139062316234496)	(4, 0.00041598718882713875)	(5, 0.002799659810519156)	(6, 0.0033102895872805117)	(7, 0.00418848476369336)	(8, 0.0045263367927143435)	(9, 0.004853183869649952)	(10, 0.008530488608977687)	(12, 0.015152168278747248)	(14, 0.023369566000896045)	(16, 0.04832879733052437)	(18, 0.08488119543448998)	(20, 0.09673517957325062)	(22, 0.10674418349489831)	(24, 0.11988574702764773)	(26, 0.14651387934102303)	(28, 0.16506657781415085)	(30, 0.18210829636595682)	(32, 0.19728412529168765)	(34, 0.2144171849458022)	(36, 0.25820313805548417)	(38, 0.28066314476652404)	(40, 0.30256905214006535)	(42, 0.3256189242828813)	(44, 0.3486798013777826)	(46, 0.36459626357885905)	(48, 0.3781114452349069)	(50, 0.39726336334908335)	(52, 0.4108346702607666)	(54, 0.42548281173400376)	(56, 0.4482146407615524)	(58, 0.46248036014982274)	(60, 0.4729576247827031)	(62, 0.48474612945655576)	(64, 0.49492240864990117)	(66, 0.5130217030971116)	(68, 0.5301707199317499)	(70, 0.5407569335902755)	(72, 0.5545951105900291)	(74, 0.5660331075399626)	(76, 0.575527629951619)	(78, 0.5861380545047323)	(80, 0.6016176201080196)	(82, 0.6133202861556063)	(84, 0.6227647360352743)	(86, 0.6386575375893673)	(88, 0.6506111165445005)	(90, 0.6593980205370674)	(92, 0.6685519396816815)	(94, 0.6779149529159179)	(96, 0.6869137022361281)	(98, 0.6999650251617775)	(100, 0.7134086746292705)	(102, 0.7238182588068257)	(104, 0.7386479819894716)	(106, 0.749496113507629)	(108, 0.760671092102722)	(110, 0.7743381420975481)	(112, 0.7957268167230768)	(114, 0.8113907152737939)	(116, 0.8221018351384884)	(118, 0.8332559043246193)	(120, 0.8462632074419272)	(122, 0.8613730066551457)	(124, 0.8725144201463784)	(126, 0.8948874877359438)	(128, 0.9194208274198682)	(130, 0.9336815945797001)	(132, 0.9444378347479447)	(134, 0.956575746650508)	(136, 0.9675196212518082)	(138, 0.9790632657417614)
GFP-2_R1_paired - polyg	(1, 0.0)	(2, 0.0)	(3, 2.971337063050991e-05)	(4, 8.693912147445493e-05)	(5, 0.0002410084506696915)	(6, 0.00034225400985513267)	(7, 0.00038847480861370365)	(8, 0.0004501025402917983)	(9, 0.0004666099684198593)	(10, 0.0006036216218827661)	(12, 0.0007499874846182409)	(14, 0.0008633384910975935)	(16, 0.0009915461828922012)	(18, 0.0011885348252203966)	(20, 0.0013695662870247993)	(22, 0.0015247361114285735)	(24, 0.001715672030109813)	(26, 0.0018873492826416481)	(28, 0.0020810364393442312)	(30, 0.002290130528966338)	(32, 0.002476664466813428)	(34, 0.002684107813622729)	(36, 0.0030137061285796813)	(38, 0.0033300985010341847)	(40, 0.003720224052460695)	(42, 0.004198389220570197)	(44, 0.004622630123461366)	(46, 0.00499404725634274)	(48, 0.005384723055373518)	(50, 0.005794107272949433)	(52, 0.006245310308449768)	(54, 0.006793356922301395)	(56, 0.00744429983815127)	(58, 0.00806332839295356)	(60, 0.008764894088396155)	(62, 0.009485168202383886)	(64, 0.010320444065663776)	(66, 0.011370866742212729)	(68, 0.012365164163126273)	(70, 0.01329508261434038)	(72, 0.01437136692828996)	(74, 0.015471862136827365)	(76, 0.016983942553357757)	(78, 0.01910239582979226)	(80, 0.022435245568847788)	(82, 0.027871141651418296)	(84, 0.03464634040277882)	(86, 0.04564138803127603)	(88, 0.0663417029038646)	(90, 0.09341003330065487)	(92, 0.1208338236498027)	(94, 0.14300274937818444)	(96, 0.1679614304602085)	(98, 0.21926376584420093)	(100, 0.30041868450258324)	(102, 0.37313225466387945)	(104, 0.4409491713947884)	(106, 0.5407547325998584)	(108, 0.7076261225560105)	(110, 0.964805800067555)	(112, 1.3182931147638333)	(114, 1.7645384193497078)	(116, 2.2395996407235303)	(118, 2.7152727374332994)	(120, 3.2015116886402364)	(122, 3.7933481073347752)	(124, 4.606353249079493)	(126, 5.485026590660452)	(128, 6.144693132028403)	(130, 6.640852497292699)	(132, 7.140719981162164)	(134, 7.771953578074737)	(136, 8.469900295024058)	(138, 9.042923748128649)
GFP-2_R2_paired - nextera_transposase_sequence	(1, 0.0007021159430468638)	(2, 0.0007109199047151631)	(3, 0.0007340303040944485)	(4, 0.0007428342657627478)	(5, 0.0007428342657627478)	(6, 0.0007648441699334959)	(7, 0.0007835525884786318)	(8, 0.0008011605118152302)	(9, 0.0008836976524555355)	(10, 0.0009876944496623203)	(12, 0.0011428642740660942)	(14, 0.0013194937550363476)	(16, 0.0014488019420394924)	(18, 0.0016188284517585213)	(20, 0.0019368715670258314)	(22, 0.0028057125341661117)	(24, 0.0033289980058256474)	(26, 0.0039755389408413725)	(28, 0.007016757449634489)	(30, 0.019214646341063076)	(32, 0.04512470553086772)	(34, 0.09683312364681046)	(36, 0.1882375044299059)	(38, 0.306690406696038)	(40, 0.4935077220593263)	(42, 0.8655301273053958)	(44, 1.4037581229064524)	(46, 1.9335838375903256)	(48, 2.3017534091113054)	(50, 2.6530727482467653)	(52, 3.343348463344975)	(54, 4.502369657815212)	(56, 5.429783381934687)	(58, 5.904045093539507)	(60, 6.240345424316452)	(62, 6.74819645067625)	(64, 7.636959682576684)	(66, 8.452012295656885)	(68, 8.886528522310169)	(70, 9.168293813028043)	(72, 9.495784679660646)	(74, 9.985562823458238)	(76, 10.505441712199747)	(78, 10.858037075529506)	(80, 11.09499295259376)	(82, 11.328832227227434)	(84, 11.629688358575411)	(86, 11.981017051920142)	(88, 12.261668641486978)	(90, 12.466053161864147)	(92, 12.648451438717554)	(94, 12.862004184677051)	(96, 13.109422469688868)	(98, 13.33796230964583)	(100, 13.517932343821599)	(102, 13.675612948043652)	(104, 13.846054894703904)	(106, 14.042623698110042)	(108, 14.234521999851147)	(110, 14.401955742858862)	(112, 14.552885359224142)	(114, 14.700231763190423)	(116, 14.864320551011788)	(118, 15.041940477669726)	(120, 15.213227604650132)	(122, 15.389292531578407)	(124, 15.549565902511773)	(126, 15.71757740550397)	(128, 15.92180455506632)	(130, 16.181623220087936)	(132, 16.537905792613902)	(134, 16.819551679601652)	(136, 17.071548574928585)	(138, 17.382268995078288)
