## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[analysis/aligned/YAF_2.sorted.rg.bam] OUTPUT=analysis/aligned/YAF_2.dedup.bam METRICS_FILE=analysis/qc/YAF_2_dup_metrics.txt REMOVE_DUPLICATES=false OPTICAL_DUPLICATE_PIXEL_DISTANCE=2500 VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 06 07:14:11 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	73221188	0	0	0	25125270	983602	0.343142	82345421

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.008455	32789523	0	33484937
2.0	1.422917	9594786	796924	9099477
3.0	1.593255	3445308	69445	3301822
4.0	1.663261	1332354	11719	1294271
5.0	1.692033	528984	2331	517308
6.0	1.703858	214740	478	210743
7.0	1.708717	91228	109	89711
8.0	1.710715	41929	27	41219
9.0	1.711536	21238	7	20961
10.0	1.711873	11733	2	11577
11.0	1.712012	7042	0	6967
12.0	1.712069	4480	0	4460
13.0	1.712092	2928	0	2904
14.0	1.712102	2127	0	2076
15.0	1.712106	1501	0	1511
16.0	1.712107	1130	0	1128
17.0	1.712108	867	0	848
18.0	1.712108	677	0	676
19.0	1.712108	514	0	513
20.0	1.712108	422	0	416
21.0	1.712108	312	0	307
22.0	1.712108	295	0	296
23.0	1.712108	215	0	214
24.0	1.712108	187	0	189
25.0	1.712108	163	0	160
26.0	1.712108	128	0	128
27.0	1.712108	104	0	108
28.0	1.712108	111	0	103
29.0	1.712108	69	0	71
30.0	1.712108	59	0	58
31.0	1.712108	85	0	84
32.0	1.712108	49	0	46
33.0	1.712108	63	0	63
34.0	1.712108	44	0	47
35.0	1.712108	38	0	35
36.0	1.712108	41	0	43
37.0	1.712108	21	0	23
38.0	1.712108	25	0	22
39.0	1.712108	32	0	30
40.0	1.712108	25	0	26
41.0	1.712108	20	0	22
42.0	1.712108	19	0	16
43.0	1.712108	10	0	11
44.0	1.712108	22	0	21
45.0	1.712108	21	0	21
46.0	1.712108	17	0	19
47.0	1.712108	7	0	5
48.0	1.712108	14	0	16
49.0	1.712108	11	0	11
50.0	1.712108	10	0	10
51.0	1.712108	13	0	11
52.0	1.712108	9	0	9
53.0	1.712108	3	0	5
54.0	1.712108	15	0	14
55.0	1.712108	4	0	3
56.0	1.712108	7	0	7
57.0	1.712108	3	0	3
58.0	1.712108	7	0	7
59.0	1.712108	7	0	7
60.0	1.712108	6	0	7
61.0	1.712108	7	0	7
62.0	1.712108	5	0	4
63.0	1.712108	2	0	2
64.0	1.712108	1	0	1
65.0	1.712108	3	0	3
66.0	1.712108	4	0	5
67.0	1.712108	3	0	4
68.0	1.712108	3	0	2
69.0	1.712108	3	0	2
70.0	1.712108	3	0	4
71.0	1.712108	4	0	3
72.0	1.712108	1	0	3
73.0	1.712108	7	0	5
74.0	1.712108	1	0	2
75.0	1.712108	1	0	0
76.0	1.712108	0	0	0
77.0	1.712108	0	0	2
78.0	1.712108	3	0	1
79.0	1.712108	1	0	1
80.0	1.712108	2	0	2
81.0	1.712108	1	0	1
82.0	1.712108	1	0	1
83.0	1.712108	1	0	4
84.0	1.712108	4	0	1
85.0	1.712108	0	0	0
86.0	1.712108	0	0	0
87.0	1.712108	1	0	1
88.0	1.712108	0	0	2
89.0	1.712108	6	0	4
90.0	1.712108	2	0	2
91.0	1.712108	1	0	1
92.0	1.712108	3	0	3
93.0	1.712108	2	0	2
94.0	1.712108	0	0	0
95.0	1.712108	0	0	0
96.0	1.712108	0	0	0
97.0	1.712108	1	0	1
98.0	1.712108	2	0	2
99.0	1.712108	0	0	0
100.0	1.712108	1	0	1
106.0	0	1	0	1
107.0	0	1	0	2
108.0	0	2	0	1
109.0	0	1	0	1
110.0	0	0	0	1
111.0	0	2	0	1
112.0	0	0	0	1
113.0	0	1	0	0
114.0	0	1	0	1
115.0	0	1	0	1
116.0	0	3	0	3
118.0	0	2	0	2
123.0	0	1	0	2
124.0	0	2	0	1
126.0	0	0	0	1
127.0	0	1	0	0
128.0	0	0	0	1
129.0	0	1	0	1
130.0	0	1	0	0
132.0	0	2	0	2
135.0	0	0	0	1
136.0	0	1	0	0
144.0	0	1	0	1
148.0	0	1	0	1
154.0	0	1	0	1
157.0	0	1	0	1
158.0	0	1	0	1
169.0	0	1	0	1
181.0	0	0	0	1
183.0	0	1	0	0
190.0	0	0	0	1
191.0	0	1	0	0
196.0	0	1	0	1
214.0	0	1	0	1
236.0	0	1	0	1
315.0	0	1	0	1

