Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	RHO GTPase Cycle R-HSA-9012999	120/441	3.848703e-05	6.200260e-02	0	0	1.567176e+00	1.593064e+01	ITSN2;NCKAP1;TRIO;FAM13B;WIPF1;ITSN1;FAM13A;ARHGAP39;MSI2;ARHGAP35;ACTG1;SYDE2;GJA1;ARHGAP42;SLK;OPHN1;EPSTI1;TPM4;RALGAPA1;SWAP70;FRS2;TEX2;TIAM2;DAAM1;ELMO2;PHIP;STAM2;DDX4;ARHGEF26;SHMT2;ARHGEF28;TWF1;ARHGAP18;RASAL2;PIK3R1;ARHGAP15;RHOBTB1;ARHGAP12;ARHGAP21;MYO6;ABL2;ECT2;SRGAP1;STARD13;ACBD5;JAG1;ARHGAP29;ARHGAP26;ARHGAP24;VANGL1;CCDC88A;ARHGAP32;ARHGAP31;DNMBP;COPS2;GRB2;FERMT2;CDC42SE2;PICALM;ZNF512B;DOCK5;DOCK4;SOWAHC;DOCK7;WASL;ARHGAP5;OSBPL11;RND3;SH3RF1;LRRC1;RND1;AKAP12;AKAP13;TUBA1B;DBT;NCK2;ARHGEF11;PLEKHG1;ARHGEF12;DST;CCDC115;NIPSNAP2;ARHGAP10;PIK3CA;GFOD1;CDC42EP3;RHOJ;RAPGEF1;CDC42EP1;ARHGEF4;SOS1;SOS2;DBN1;RHOQ;ROCK1;AMIGO2;ADD3;FAM169A;PGRMC2;ARL13B;NHS;CKB;WHAMM;REPS1;NDUFA5;KIDINS220;USP9X;MCF2;ERBIN;CDC42BPA;KTN1;SLC4A7;FMNL2;TAOK3;ABI1;FILIP1;GOPC;PKN2;VIM;RBMX
Reactome_2022	TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138	35/101	2.278584e-04	9.379495e-02	0	0	2.209183e+00	1.852795e+01	APP;PELI2;LY96;NOD1;TANK;MAPK9;PPP2CB;MAPK8;RPS6KA5;RPS6KA2;UBC;MAPK1;N4BP1;MAP2K6;MEF2A;MAP2K4;MEF2C;JUN;MAP3K1;CHUK;RIPK2;TICAM1;S100B;NFKB1;DUSP6;MAPK10;CREB1;TRAF6;UBE2N;PELI1;TAB3;TAB2;ALPK1;TLR4;MYD88
Reactome_2022	MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155	35/102	2.828321e-04	9.379495e-02	0	0	2.176074e+00	1.777996e+01	APP;PELI2;LY96;NOD1;TANK;MAPK9;PPP2CB;MAPK8;RPS6KA5;RPS6KA2;UBC;MAPK1;N4BP1;MAP2K6;MEF2A;MAP2K4;MEF2C;JUN;MAP3K1;CHUK;RIPK2;TICAM1;S100B;NFKB1;DUSP6;MAPK10;CREB1;TRAF6;UBE2N;PELI1;TAB3;TAB2;ALPK1;TLR4;MYD88
Reactome_2022	Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138	36/106	2.932772e-04	9.379495e-02	0	0	2.142479e+00	1.742776e+01	APP;PELI2;LY96;NOD1;TANK;EEA1;MAPK9;PPP2CB;MAPK8;RPS6KA5;RPS6KA2;UBC;MAPK1;N4BP1;MAP2K6;MEF2A;MAP2K4;MEF2C;JUN;MAP3K1;CHUK;RIPK2;TICAM1;S100B;NFKB1;DUSP6;MAPK10;CREB1;TRAF6;UBE2N;PELI1;TAB3;TAB2;ALPK1;TLR4;MYD88
Reactome_2022	Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542	164/660	3.037135e-04	9.379495e-02	0	0	1.386969e+00	1.123365e+01	ITSN2;NCKAP1;TRIO;FAM13B;WIPF1;ZWILCH;ITSN1;FAM13A;ARHGAP39;MSI2;ARHGAP35;ACTG1;PPP1CB;SYDE2;GJA1;ARHGAP42;HTR7;SLK;OPHN1;KIF5B;EPSTI1;TPM4;RALGAPA1;SWAP70;FRS2;PRKCA;KNL1;TEX2;TIAM2;DYNC1LI1;DYNC1LI2;CLIP1;DAAM1;ZW10;ELMO2;PHIP;STAM2;ROPN1;PFN2;DDX4;ARHGEF26;SHMT2;ARHGEF28;TWF1;ARHGAP18;RASAL2;PIK3R1;ARHGAP15;RHOBTB1;SKA2;ARHGAP12;ARHGAP21;RHOT1;MYO6;ABL1;ABL2;ECT2;SRGAP1;STARD13;ACBD5;JAG1;RCC2;ARHGAP29;ARHGAP26;ARHGAP24;VANGL1;CCDC88A;ARHGAP32;ARHGAP31;DNMBP;COPS2;GRB2;NF2;CALM1;FERMT2;CDC42SE2;PICALM;ZNF512B;DOCK5;DOCK4;CDKN1B;SOWAHC;DOCK7;WASL;ARHGAP5;OSBPL11;RND3;SH3RF1;LRRC1;RND1;AKAP12;AKAP13;TUBA1B;YWHAQ;PPP2R5E;DBT;NCK2;ACTR3;ARHGEF11;NCOA2;PLEKHG1;PPP1R12A;ARHGEF12;DST;CCDC115;PPP2R5C;LRRC41;NIPSNAP2;ARHGAP10;PIK3CA;GFOD1;CDC42EP3;RHOJ;RAPGEF1;CDC42EP1;ARHGEF4;SOS1;SOS2;DBN1;RHOQ;ITGB3BP;DYNC1I2;ROCK1;SRF;AMIGO2;TRAK1;ADD3;FAM169A;TRAK2;PPP2CB;FZR1;PGRMC2;ARL13B;NHS;CTNNA1;FLNA;MAPK1;CKB;WHAMM;DYNC1I1;REPS1;RANBP2;NDUFA5;KIDINS220;USP9X;MCF2;ERBIN;CDC42BPA;KTN1;SLC4A7;FMNL2;TAOK3;KANSL1;TAOK1;ABI1;CENPK;RAB9A;FILIP1;GOPC;PKN2;VIM;CENPP;RBMX;NUP37
Reactome_2022	Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181	35/103	3.493294e-04	9.379495e-02	0	0	2.143940e+00	1.706468e+01	APP;PELI2;LY96;NOD1;TANK;MAPK9;PPP2CB;MAPK8;RPS6KA5;RPS6KA2;UBC;MAPK1;N4BP1;MAP2K6;MEF2A;MAP2K4;MEF2C;JUN;MAP3K1;CHUK;RIPK2;TICAM1;S100B;NFKB1;DUSP6;MAPK10;CREB1;TRAF6;UBE2N;PELI1;TAB3;TAB2;ALPK1;TLR4;MYD88
Reactome_2022	MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058	37/112	4.502859e-04	1.036301e-01	0	0	2.055086e+00	1.583573e+01	APP;PELI2;LY96;NOD1;TANK;MAPK9;PPP2CB;MAPK8;RPS6KA5;RPS6KA2;UBC;MAPK1;N4BP1;MAP2K6;MEF2A;MAP2K4;MEF2C;JUN;MAP3K1;CHUK;RIPK2;S100B;NFKB1;DUSP6;TIRAP;TLR1;MAPK10;CREB1;TRAF6;UBE2N;PELI1;TAB3;TAB2;TLR6;ALPK1;TLR4;MYD88
Reactome_2022	Signaling By Rho GTPases R-HSA-194315	158/644	7.104268e-04	1.229264e-01	0	0	1.362398e+00	9.876902e+00	ITSN2;NCKAP1;TRIO;FAM13B;WIPF1;ZWILCH;ITSN1;FAM13A;ARHGAP39;MSI2;ARHGAP35;ACTG1;PPP1CB;SYDE2;GJA1;ARHGAP42;SLK;OPHN1;KIF5B;EPSTI1;TPM4;RALGAPA1;SWAP70;FRS2;PRKCA;KNL1;TEX2;TIAM2;DYNC1LI1;DYNC1LI2;CLIP1;DAAM1;ZW10;ELMO2;PHIP;STAM2;ROPN1;PFN2;DDX4;ARHGEF26;SHMT2;ARHGEF28;TWF1;ARHGAP18;RASAL2;PIK3R1;ARHGAP15;RHOBTB1;SKA2;ARHGAP12;ARHGAP21;MYO6;ABL1;ABL2;ECT2;SRGAP1;STARD13;ACBD5;JAG1;RCC2;ARHGAP29;ARHGAP26;ARHGAP24;VANGL1;CCDC88A;ARHGAP32;ARHGAP31;DNMBP;COPS2;GRB2;NF2;CALM1;FERMT2;CDC42SE2;PICALM;ZNF512B;DOCK5;DOCK4;CDKN1B;SOWAHC;DOCK7;WASL;ARHGAP5;OSBPL11;RND3;SH3RF1;LRRC1;RND1;AKAP12;AKAP13;TUBA1B;YWHAQ;PPP2R5E;DBT;NCK2;ACTR3;ARHGEF11;NCOA2;PLEKHG1;PPP1R12A;ARHGEF12;DST;CCDC115;PPP2R5C;NIPSNAP2;ARHGAP10;PIK3CA;GFOD1;CDC42EP3;RHOJ;RAPGEF1;CDC42EP1;ARHGEF4;SOS1;SOS2;DBN1;RHOQ;ITGB3BP;DYNC1I2;ROCK1;SRF;AMIGO2;ADD3;FAM169A;PPP2CB;FZR1;PGRMC2;ARL13B;NHS;CTNNA1;FLNA;MAPK1;CKB;WHAMM;DYNC1I1;REPS1;RANBP2;NDUFA5;KIDINS220;USP9X;MCF2;ERBIN;CDC42BPA;KTN1;SLC4A7;FMNL2;TAOK3;KANSL1;TAOK1;ABI1;CENPK;FILIP1;GOPC;PKN2;VIM;CENPP;RBMX;NUP37
Reactome_2022	JNK (c-Jun Kinases) Phosphorylation And Activation Mediated By Activated Human TAK1 R-HSA-450321	10/18	7.140471e-04	1.229264e-01	0	0	5.192481e+00	3.761725e+01	MAPK10;MAP2K4;MAPK9;MAPK8;RIPK2;TRAF6;UBE2N;TAB3;NOD1;TAB2
Reactome_2022	MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871	32/96	8.909578e-04	1.229264e-01	0	0	2.081582e+00	1.461940e+01	APP;PELI2;NOD1;TANK;MAPK9;PPP2CB;MAPK8;RPS6KA5;RPS6KA2;UBC;MAPK1;N4BP1;MAP2K6;MEF2A;MAP2K4;MEF2C;JUN;MAP3K1;CHUK;RIPK2;S100B;DUSP6;NFKB1;MAPK10;CREB1;TRAF6;PELI1;UBE2N;TAB3;TAB2;ALPK1;MYD88
