Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	SUZ12 CHEA	468/1684	2.453814e-10	2.551967e-08	0	0	1.442783e+00	3.192619e+01	SERPINE2;C9ORF50;ZFYVE28;HTR6;SAMD14;GJA3;DPYSL5;SOX18;FAM110C;LIPG;NKX1-2;CYP1B1;VSTM4;IER5;FAM19A3;PRKCH;UNC5B;FIBCD1;CACNA2D2;HPCAL4;RBP4;ADCY9;DAAM2;HOXB4;ASTN2;GRID2IP;COL13A1;DHH;AGAP2;GATA2;GRIN2A;CHST11;ADAMTS17;CHST15;ALX4;PROM1;RHBDL3;PROM2;ZBTB7C;WNT10A;PLK5;SRMS;FZD2;ACE;NFATC2;BTBD11;NFATC1;GRIN2C;GP5;GRIN2B;SLC16A14;FOSL1;FERMT1;FXYD7;CDKN1C;HRK;RET;MESP1;LAD1;KCNC4;PIGZ;PTH1R;PEAR1;RCSD1;SLC6A2;PRSS23;JPH4;LFNG;MRC2;SHH;JPH3;MMP28;RSPO1;DUSP2;ARG2;KCND3;RIPK4;WNT9B;PAX5;PAX2;BACE2;SLC7A8;PAX8;MMP15;OAF;TAL1;ITPKA;GAS1;GAS6;DSCAML1;CHST2;MDFI;JDP2;GRAMD1B;SEZ6;SNX33;ADCY7;TMEM163;ADCY5;EXTL1;GBX1;PLAGL1;FLNC;ZNF467;FARP1;WNT7B;ECEL1;ADAM33;BMP8A;BMP8B;WNT7A;UNCX;NMNAT2;TMEM158;SLCO3A1;TMEM54;WT1;ANKRD63;NOTUM;CRLF1;SEMA5A;SEMA5B;CSF1;HR;METRNL;CXCL14;CXCL16;FOXQ1;ADORA1;TNFRSF8;SLC39A8;PLXNC1;SLC16A2;PITX1;STK32C;CSGALNACT1;KCNH3;DGAT2;COL27A1;IGFBP4;FST;SEMA6D;IGFBP3;TPM1;VASH2;VASH1;SYPL2;HIC1;OLFM2;RAB31;C1ORF115;CACNB4;LTB4R2;SLCO2A1;PKP1;MAL;ROR2;NPTXR;PHLDB2;KANK4;OSBP2;RTN4R;SEMA7A;DLX3;KCNE3;DLX4;C3ORF70;GPR88;CHRD;FOXO6;ABHD6;AEBP1;NPAS1;CTIF;SNN;TPPP;NPTX1;IGFBP6;NPTX2;SLC38A3;RAB6B;PLXNA4;KCNF1;ATP8B1;MAFA;ABHD15;REEP1;MLXIPL;PTPRE;CXCL12;MAFB;LHX3;LHX1;ITGA11;NFE2L3;SP5;LHX6;CNIH3;SERINC2;LHX9;FLT1;ANKRD33B;ONECUT3;FLT4;LRRK1;RASGRF1;DYSF;FHL2;ELFN2;ADRA1B;ELFN1;C15ORF59;ADAMTS2;EFHD1;PLEKHG3;PIANP;GRID1;COL25A1;RTN4RL2;FOXL1;C1QL4;NGF;ADRA2B;C1QL1;RTN4RL1;HAND2;ITGA7;TNFRSF21;COL15A1;SLC24A4;SMARCD3;ZBTB46;PPM1H;SEMA3F;LRP8;NTN3;RAB20;ZNRF4;P2RY2;PCDH1;DRGX;TBX1;KCNJ4;COL26A1;KCNIP1;IRX6;NTRK3;PCDH7;IRX3;APLN;FRAS1;SYT12;MDGA1;KCNK3;SPON1;VIPR1;OXTR;CPNE7;IKZF3;HS6ST2;BAIAP2L1;RASSF2;SOX1;RASSF5;SOX8;EPHB1;SOX7;IL15RA;PAQR9;SLC6A17;KCNK15;EBF4;PAPPA;KCNQ4;BCORL1;NBL1;ZFPM1;NECAB2;ADCYAP1R1;EPAS1;RRAD;TGFA;TMTC1;SLC6A20;STRIP2;ST8SIA4;ARSI;B4GALNT1;STXBP6;CCR10;NTSR1;ATP6V1C2;NTNG1;EGR3;FAM78A;LRRN2;FOXF1;ST8SIA2;IQSEC3;IGF2;CYP26A1;OCLN;WNK2;PPP1R1B;TMCC3;MKX;CD24;VSX1;TP73;ACVRL1;PTPRU;RYR2;TENM4;CITED4;DOC2B;SLC7A10;CX3CL1;DMBX1;TNFAIP8L3;KIF1A;FOXD2;GP1BB;INSRR;NOG;KREMEN2;GFRA2;SORCS2;PITPNM3;VWA2;MAPT;FJX1;HMX2;OPRD1;RAMP2;TNXB;PTGER2;CRYBA2;GDPD5;NKD1;SERTAD4;HSF4;SUSD3;GPC5;CILP2;DISC1;GABRD;DUOX2;CA11;RFTN1;PODN;KAZALD1;CAMK4;STAC2;CDK5R2;PRDM8;GALNT12;GALNT14;GALNT16;GALNT18;C4ORF19;HOXA13;LOXL1;COMP;CCND2;BMPER;LMO1;CARD10;MSX2;SLC30A3;ATG9B;POU3F1;LOX;COL4A2;ADAM12;EEF1A2;LMX1B;ABCG4;FBLN7;PKDCC;CABP7;NPR1;NXPH4;NPR2;HTRA4;ALOX15;TMEM59L;HTRA1;DTX1;LTBP2;HOXB13;EFNA5;DTX4;NDRG1;CACNA1G;DPP4;CACNA1I;WNT6;FAM83F;SCUBE1;BRINP1;THPO;HRH2;PODXL;CDH22;WNT4;TFAP2A;SYT2;EVX1;INHBB;HSPA2;SMAD6;BMP7;BMP6;BMP4;EFNA3;FGF19;TRPV4;FEV;FGF18;SDK2;ZMYND15;MEGF11;SOWAHD;DOCK8;MAST1;TNFAIP2;ZIC2;SIX2;CA4;SIX3;CA7;SCN5A;CAMK1D;MMP9;SEPT3;SSTR5;TGFBR3;CDH13;IRF8;NAT8L;CUEDC1;SCN4B;COLEC12;HCN4;CAMK2B;LTK;NRXN2;DLL1;CYGB;DLL4;WNT11;PDLIM2;CLMP;GNG4;SPOCK2;S1PR5;HES2;LGI2;ATP2B3;ATP2B2;HS3ST6;EPOR;DES;CYP24A1;PPP2R2C;BCL6B;FAM131B;RGS10
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	EZH2 CHEA	85/237	3.181686e-07	1.654477e-05	0	0	2.047317e+00	3.062927e+01	HRK;ACVRL1;PTPRU;GALNT16;ONECUT3;KCNC4;ELFN2;CXCL14;ELFN1;FOXQ1;COMP;RASSF2;ZIC2;DPYSL5;SOX18;KIF1A;PLXNC1;PITX1;PRKCH;RBFOX3;SLC30A3;GRID1;FIBCD1;ADAM11;CACNA2D2;KCNK15;KREMEN2;POU3F1;ADRA2B;PAX2;TGFBR3;SLC9A5;COL4A2;LMX1B;NAT8L;ZFPM1;FJX1;TNXB;PDGFB;AGAP2;SEZ6;NRXN2;SLC6A20;HOXB13;NPAS1;NKD1;ADCY5;PHF21B;CACNA1I;WNT6;THPO;GBX1;GPC1;CDH22;FLNC;NPTX1;HES2;CCR10;PLXNA4;DRGX;KCNJ4;COL26A1;PLK5;FAM78A;WNT7B;ECEL1;WNT7A;UNCX;INHBB;MAFA;CYP26A1;OCLN;CYP24A1;P4HA2;WNK2;CAMK4;LHX1;FEV;PPP1R1B;NOTUM;CD24;CNIH3;CDK5R2;SDK2;TP73
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	EZH2 ENCODE	93/338	5.779985e-03	2.003728e-01	0	0	1.384003e+00	7.132259e+00	HRK;SPON1;SLC2A4;IKZF3;SOX2;SCAMP5;TMEM221;TMEM145;MMP24;NMRK2;LIPG;NKX1-2;RBPMS2;KCNH4;UNC13A;CXADR;MYBPC2;PIANP;NUP210;NOG;WNT9B;RTN4RL2;EBF4;TYK2;ELOVL7;CYS1;C4ORF48;COX6B2;NCCRP1;F3;SHISA8;EML5;OLFM2;SLC9A5;MMP15;RGS9BP;FSCN1;BLVRB;NEIL1;RPP25;MATN3;RNF165;OSBP2;FBN3;GUCY2D;C1ORF194;PCOLCE2;GIPR;PPM1N;EBI3;PAPLN;ALOX15;LAMA3;PALM3;TGFA;CACNA1A;SNX32;C2CD4C;IQGAP2;TMEM163;NPAS1;FBLN5;TMEM121;DLL3;ADAP2;NCR3LG1;CASKIN1;KCNN1;S1PR5;KIAA0319;PLXNA4;ATP6V1C2;B4GALNT4;RTBDN;CA11;ANKRD29;COL26A1;BIK;CGN;FAM213A;PLXDC1;EPOR;GRIN2D;ETNPPL;REEP1;TTLL6;MLXIPL;GRIN3B;OCLN;FAM131B;CSPG5;MYO1F;HCN2
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	GATA1 CHEA	195/807	4.181746e-02	9.999957e-01	0	0	1.162103e+00	3.689028e+00	ERRFI1;SPI1;HDAC11;ICAM2;SLC4A1;ICAM5;AQP1;ZFYVE28;LIPC;CREB3L3;RPS6KA1;ROPN1L;SLC12A7;IER5;GLUL;UNC5A;IL1R1;KRT2;FIBCD1;COL23A1;RFX2;ACSL5;GPR37L1;HSPG2;ANK1;RUNX3;UNC13D;TIAM1;CRISPLD2;DDIT4;KCNQ2;KCNQ4;ASTN2;HPD;ZFPM1;EPHA2;TSHZ2;AGAP1;GATA2;IQGAP2;GATA1;PIK3R6;ADAMTS14;CHST11;INPP5D;ST3GAL5;KCNN3;KCNN4;PPARGC1B;ST3GAL2;NFE2;MICAL2;NFATC2;NFATC1;PARVB;CCDC88B;TG;ZFAT;ACVRL1;RYR1;COL18A1;TENM4;SLC44A2;C2CD2;PTPRF;LIMD2;ANKRD9;SH3PXD2A;RAC2;CCR3;RALGPS1;CTSB;CLUL1;CHST6;KCND1;IFNGR2;SLC39A13;FOS;AMPD3;VAV2;BDH1;SLC29A1;PLCB2;SLC43A3;SLC20A1;CRIP1;RXRA;CUX1;DISC1;FAM46C;GDF15;LAPTM5;PLEKHA6;FAM213A;PDZK1IP1;MORN1;KRT19;KIF26A;DLC1;PNPLA6;RAMP1;CYB561;SCARB1;CSF3R;CSF2;CD82;ATP8A1;RAB3D;FAIM2;CMIP;TGM1;CDH1;SLCO2B1;CCRL2;CEP250;PLXNC1;BAHCC1;TGM2;KCNH2;COL27A1;CISH;C21ORF58;CD180;TPM1;FAM118A;PGC;COL4A2;EHBP1L1;ROR2;RPP25;KCNE3;FBLN2;RAP1GAP;SNN;ASIC4;HRH2;KIAA1522;CDH23;RAB6B;PLXNA4;ASIC1;NEK8;RAP1GAP2;SLC14A1;SYT2;IDH2;SLC2A9;PTPRE;COL5A1;P4HA2;NABP1;SDK2;SLC48A1;FLT1;ANKRD33B;ITGB5;CELF2;ATP2A3;ARRB1;AFF3;PITPNC1;AFF1;HK1;ALDH2;MYO18A;PLEKHG3;DNAI2;TRIM63;KSR1;MKL1;SORD;VSTM2L;COBL;SPTB;INMT;ELF3;ACTBL2;BLVRB;CUEDC1;RRBP1;TSPAN32;SH3TC2;GNA12;PTK2B;ACSS1;SH2B3;GALNT6;NOS3;PCDH7;SEMA4B;TTC39A;EPOR;MAPK13;SLC25A37;MDGA1
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	MYOD1 ENCODE	44/166	7.739599e-02	9.999957e-01	0	0	1.310273e+00	3.352753e+00	RYR1;SMIM5;SMARCD3;CD82;SDC4;ATP2A1;MRGPRE;SLC2A4;LSP1;WISP1;DUSP13;PRKAG3;CHRND;ABLIM2;C10ORF105;ANXA6;XIRP1;TMEM109;SCN5A;PPFIA4;SLC37A2;EGLN3;TNFSF15;LRBA;MYBPH;CMBL;MAFA;RUNDC3A;IGFN1;CACNB1;FMNL3;TTC9;TPPP3;JSRP1;SYNPO2L;TNNT1;TNNT3;TMEM119;PCYOX1L;CDH15;ESYT1;RAPSN;TRIM55;ASF1B
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	ESR1 CHEA	39/154	1.536102e-01	9.999957e-01	0	0	1.231187e+00	2.306429e+00	RET;SCARB1;SERPINA1;LRP1;FHL2;TGFA;GRIK4;ETFB;LITAF;THSD4;ZFP36L1;ASGR2;C3;CAPN8;SH3PXD2A;C1QTNF6;PDK4;CYP1B1;SLC39A8;CTSD;XDH;CA12;AFAP1L2;GDF15;GREB1;SPRY4;ACSL5;CGN;FOS;BMP7;DAP;RAB31;CXCL12;MLPH;SLC25A19;SLCO2A1;MAPT;SLC29A1;GPRC5C
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	GATA2 CHEA	172/772	3.399541e-01	9.999957e-01	0	0	1.040573e+00	1.122721e+00	ERRFI1;ZNF692;OXTR;SPI1;HDAC11;ICAM2;SLC4A1;KLHDC7A;ICAM5;SCAMP5;CDH5;FBL;SAMD14;LCNL1;CREB3L1;CCRL2;SYNPO;BAHCC1;IER5;EPHB4;TGM2;CMKLR1;CSGALNACT1;DAPK1;IL1R1;STARD8;COL23A1;SPNS2;RFX2;ADAM11;ACSL6;HPCAL4;HSPG2;SRCIN1;TLE6;OLFM2;OBSCN;MAPKAPK3;DDIT4;NINJ1;PKP1;UCA1;LMX1B;RPP25;ZFPM1;ABCG1;EPHA2;PKDCC;DHH;CSF2RB;GATA2;GATA1;FBLN2;SLC9A1;ASIC4;RNF213;RAB11FIP1;CHST11;INPP5D;KIAA1522;PLXNA1;TNFRSF14;KCNN4;ST3GAL2;ASIC1;NEK8;RTBDN;CDK18;NFE2;GPR108;EPHX2;PDE2A;MICAL2;NFATC1;PARVB;MLXIPL;EFNA3;LPAR5;UBXN11;UBXN10;P4HA2;NABP1;MAP3K14;BCL2L1;ACVRL1;GLP1R;COL18A1;CDKN1A;CLIC4;TENM4;SLC35F3;DOCK8;FHL2;DYSF;RCSD1;PTPRF;PPCDC;HK1;LASP1;SH3PXD2A;IMPA2;RAC2;MYO18A;EFHD2;TNFAIP8L1;SH3BGRL3;CCR7;CD34;SLC36A1;IL10;DUSP5;DUSP2;EGFL7;KSR1;MMP2;IFNGR2;MKL1;IL16;FOS;AMPD3;F3;PALD1;TNFRSF1A;VAV2;PLCB4;ACTBL2;RABEP2;TAL1;IRF8;SHANK2;MGLL;PLIN5;ENG;CRB2;CEBPB;PDXK;KRT80;CAB39;AHNAK;SLC20A1;PTAFR;CXXC5;CRIP1;DLL1;TSPAN32;PTGS1;RXRA;RAB20;MAT2A;P2RY2;GNA12;PTK2B;SH2B3;IL12RB2;EGLN3;SEMA4D;NOS3;LAPTM5;FAM213A;PDZK1IP1;YIF1B;MAPK13;CAPN13;RYBP;KRT18;SH3D21;DLC1;PDCD4;PTPN7;CYB561;SSBP3;UMODL1
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	ZEB1 ENCODE	24/106	4.371073e-01	9.999957e-01	0	0	1.061103e+00	8.781442e-01	CYB5A;SH2D3A;WWC1;FHOD1;LRBA;LMNTD2;RASSF7;TMEM80;FAM83H;DLL4;SLC7A7;SPINT1;KIFC2;DEAF1;MFSD3;PCYOX1L;SLC25A51;PICK1;EPHA1;CRELD2;CUEDC1;LPIN3;LLGL2;TJP2
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	SMC3 ENCODE	257/1181	4.654021e-01	9.999957e-01	0	0	1.008560e+00	7.714006e-01	EPHB6;CNTFR;OXTR;TMEM92;IL27RA;DPYSL5;RASSF5;PIEZO1;FBXO6;GNAT1;EPHB1;PDK2;FAM19A3;DAPK2;COL23A1;KCNK15;MYO7A;TMEM82;ARMC5;ASTL;PPP1R3B;DDIT4;TYRO3;ORAI1;RBCK1;CTXN1;ASF1B;SMIM5;NYAP1;COL13A1;RRAD;TPRG1L;ABCB8;IQGAP2;CHST11;ADAMTS17;SEC14L5;RRS1;B4GALNT1;S100A14;CCR10;HEXIM1;NGFR;ABCA2;EGR1;PLK3;ABCA3;FUCA1;MRPL23;SLC16A14;EHD2;FXYD3;ARTN;SNAI1;COL9A2;FERMT3;ITM2C;PTPRU;MESP1;ELN;TMEM51;PIGZ;GRIK4;PEAR1;GLI1;LIMD1;PIGV;PTPRF;ASGR1;ARHGAP4;PTMS;EPB41L4B;ADAMTSL2;FFAR1;ANKRD2;FOXD2;DUSP1;CCDC114;INSRR;NOG;TFEB;SLC39A13;WNT9A;TYK2;PTGR1;SORCS2;PAX2;VAV2;SLC7A7;KIFC2;TMEM106C;FJX1;RAPGEF3;SLC29A3;CRB2;TMPRSS9;GRN;SLC43A2;AHNAK;RPL11;HSD17B6;GDPD5;RASIP1;ERMP1;CUX1;TLDC1;STAT6;FLNB;RABAC1;KCNB1;GDF15;WNT7B;FAM46A;NR1H3;GCG;PLXDC1;KAZALD1;VEGFA;NUDT8;TMEM158;KIF26A;LPCAT4;ZNF219;MORN3;TRIP10;NOTUM;LGR6;RAMP1;SEMA5B;GOLT1A;CIB2;CLU;APMAP;UROD;BASP1;EME2;NRTN;PIM2;PRND;RGS9;TGM2;LMO1;COL27A1;CISH;SCARA5;IGFBP4;IGFBP3;USP2;SRCIN1;PRSS56;PDGFRL;HIC1;MOB3B;MAPKAPK3;LTB4R2;EHBP1L1;ISCU;RTN4R;CEMIP;SLC26A2;DLX3;NPR1;NPR2;LTBP2;DTX4;TMEM121;NCKIPSD;SLC9A3R1;EFNB1;SOCS1;CDH24;TNFRSF14;NPTX1;THEM6;CACNA1S;ASIC1;NEK8;GPR108;TRPV2;ARHGAP27;CORO2A;MAFA;POU2F2;SYT8;POU2F3;NFKB2;PTPRE;DIAPH1;CXCL12;MAFB;HOOK2;ATG16L1;NOXA1;ALPL;BCL2L1;MEGF11;LRRK1;ARRB2;SLC2A4;CPZ;PITPNC1;SIX5;MFSD3;SCN5A;SOST;TRIM65;SLC36A1;PLEKHG4;ABCC5;ARHGEF16;ADRA2B;DUSP23;ELF3;TBC1D4;RTN4RL1;CATSPERG;BLVRB;PLEC;CEBPB;C1S;LRP1;C1R;NXN;NRXN2;PPM1J;RRBP1;ASAP2;PPM1F;THBS3;DLL4;MUC1;MIEN1;WNT11;ERBB3;HAUS7;TNNI2;D2HGDH;SLC25A23;RILP;SLC35A2;HSD3B7;COL26A1;KCNJ11;RNF24;LGI4;POLM;CDC42BPG;FMNL3;PINK1;FAM167A;USH1G;CD6;NT5C1A;BCL6B;RAB13;GLOD5;MAGIX
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	ZC3H11A ENCODE	28/129	5.258852e-01	9.999957e-01	0	0	1.004781e+00	6.457450e-01	MST1R;PEAR1;CLU;PIGV;PTPRF;ASGR1;SOCS1;APMAP;PTK2B;TLDC1;STAT6;ANKRD2;RGS9;IGFBP4;CDC42BPG;WNT7B;MYO7A;POU2F2;VAV2;DUSP23;POLA2;MAPKAPK3;FXYD3;ZFAT;LGR6;RAMP1;ISCU;BCL2L1
