Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978)	274/1149	8.229549e-05	5.476909e-02	0	0	1.320695e+00	1.242139e+01	ATF2;EHF;BACH1;SOX21;CCAR1;ZNF606;CREB3L2;TRIM24;ZNF724;SOX9;SOX6;HOXA5;SOX4;SOX5;MEF2A;ZNF18;MEF2C;ZNF285;ZNF281;SOX13;RFX3;SOX11;RUNX1;AR;RFX7;RFX4;ZSCAN21;ZNF713;ATF6;ATF3;ATF4;ZNF155;ZNF397;ZNF396;ZNF273;MYNN;TWIST1;GATA3;ZNF24;ZBTB2;PGBD1;DHX36;PRDM16;ZBED1;ZSCAN12;ZNF821;ZNF148;PATZ1;ZNF268;ZSCAN16;ZNF267;ZNF146;STAT5B;JUN;ZNF383;ZNF382;ZNF260;BCL11A;NR2F1;POU6F2;NR1D2;NR1D1;PBX1;FOSL2;SOX30;ZBTB6;ZNF816;ZNF813;SNAI2;ZNF136;ZNF256;ZNF134;ZNF254;ZNF253;ZNF251;ZNF490;BHLHE41;HEY1;ZNF41;ZNF280C;TEAD1;ZIK1;ZNF484;ZNF362;TCF12;PROX1;ZEB2;PAX9;RARB;ZNF780A;ZNF234;FOXC1;ZNF8;ARNTL2;RXRB;HSF2;ZNF229;ZNF107;ZNF227;ZNF225;HDX;ZNF222;ZNF585A;ZNF100;ARNT2;ZNF461;ZNF460;STAT2;NFYC;NR1H4;PER1;ZNF71;NFIB;ZNF74;ZNF217;ZNF699;ZNF333;NEUROG2;GZF1;ZNF211;ZFP28;ZNF354B;FOXA1;ZNF570;PRDM4;ZBTB26;ZSCAN9;ZBTB20;RORB;PRDM1;NR3C1;CARF;NR3C2;ZNF81;DACH1;ZFP30;SALL3;ZNF85;ZNF569;ZNF205;ZNF689;PITX2;ZNF322;ZNF320;ZNF561;ZNF681;ZBTB38;ZBTB37;ZBTB34;MITF;ZBTB33;POU3F2;FOXP1;POU3F4;ZNF91;ZNF92;ZNF93;ZNF319;ZNF678;ZNF677;ZNF430;DLX1;DLX2;ZNF670;DLX5;DLX6;GLIS3;ZKSCAN8;ZKSCAN3;ZKSCAN2;ZNF426;ZNF304;ZNF546;ZKSCAN4;SKIL;ZBTB17;TFAP2B;SMAD1;TFAP2C;SMAD4;ZBTB14;HMGA2;ESRRG;ZFHX4;ESR1;SMAD5;NFKB1;BCL6;ZNF419;ZNF416;ZNF658;ZNF536;TCF4;ZNF777;ZNF655;ZNF776;SP9;ZNF773;NFE2L2;ZNF772;THRB;THRA;ZFP82;NR2E1;CHD2;ZNF408;ZNF649;SNAPC3;ZNF646;UTY;ZNF644;ZNF641;KDM6A;TGIF1;KDM6B;KLF10;KLF12;DNMT3A;ZNF75D;KLF17;ELF1;CREB1;ELF4;DMRTA1;IRF2;ZNF516;ZNF630;IRF9;CREB5;HDAC5;ZNF197;HLF;CEBPD;ZNF195;PLAG1;SRF;ZBTB49;CEBPG;ZBTB45;ZBTB41;ZBTB40;CIART;IFI16;ZNF629;ZNF506;NRIP1;ZNF746;ZNF623;HES1;E2F5;ZNF189;ZNF286A;IRX1;TCF7L2;PRRX1;ZNF184;FOXJ2;TBX19;KLF3;TBX3;KLF7;REST;KLF6;MEIS1;KLF5;TEF;ZNF616;ZNF615;KLF9;ZNF613;ZNF853;ZNF610;ZNF730;RBMX
GO_Molecular_Function_2021	cis-regulatory region sequence-specific DNA binding (GO:0000987)	273/1149	1.100886e-04	5.476909e-02	0	0	1.313923e+00	1.197539e+01	ATF2;EHF;BACH1;SOX21;CCAR1;ZNF606;ZNF724;SOX9;SOX6;HOXA5;SOX4;SOX5;MEF2A;ZNF18;MEF2C;ZNF285;ZNF281;SOX13;RFX3;SOX11;RUNX1;AR;RFX7;RFX4;ZSCAN21;ZNF713;ATF6;ATF3;ATF4;ZNF155;ZNF397;ZNF396;ZNF273;MYNN;GATA3;ZNF24;ZBTB2;PGBD1;DHX36;PRDM16;ZBED1;ZSCAN12;ZNF821;ZNF148;PATZ1;ZNF268;ZSCAN16;ZNF267;ZNF146;STAT5B;JUN;ZNF383;ZNF382;TIPARP;ZNF260;BCL11A;NR2F1;POU6F2;NR1D2;NR1D1;PBX1;FOSL2;SOX30;ZBTB6;ZNF816;ZNF813;SNAI2;ZNF136;ZNF256;ZNF134;ZNF254;ZNF253;ZNF251;ZNF490;BHLHE41;HEY1;ZNF41;ZNF280C;TEAD1;ZIK1;ZNF484;ZNF362;TCF12;PROX1;ZEB2;PAX9;RARB;ZNF780A;ZNF234;FOXC1;ZNF8;ARNTL2;RXRB;HSF2;ZNF229;ZNF107;ZNF227;ZNF225;HDX;ZNF222;ZNF585A;ZNF100;ARNT2;ZNF461;ZNF460;STAT2;NFYC;NR1H4;PER1;ZNF71;NFIB;ZNF74;ZNF217;ZNF699;ZNF333;NEUROG2;GZF1;ZNF211;ZFP28;ZNF354B;FOXA1;ZNF570;PRDM4;ZBTB26;ZSCAN9;ZBTB20;RORB;PRDM1;NR3C1;CARF;NR3C2;ZNF81;DACH1;ZFP30;SALL3;ZNF85;ZNF569;ZNF205;ZNF689;PITX2;ZNF322;ZNF320;ZNF561;ZNF681;ZBTB38;ZBTB37;ZBTB34;MITF;ZBTB33;POU3F2;FOXP1;POU3F4;ZNF91;ZNF92;ZNF93;ZNF319;ZNF678;ZNF677;ZNF430;DLX1;DLX2;ZNF670;DLX5;DLX6;GLIS3;ZKSCAN8;ZKSCAN3;ZKSCAN2;ZNF426;ZNF304;ZNF546;ZKSCAN4;SKIL;ZBTB17;TFAP2B;SMAD1;TFAP2C;SMAD4;ZBTB14;ESRRG;FOXN3;FOXN2;ZFHX4;ESR1;SMAD5;NFKB1;BCL6;ZNF419;ZNF416;ZNF658;ZNF536;TCF4;ZNF777;ZNF655;ZNF776;SP9;ZNF773;NFE2L2;ZNF772;THRB;THRA;ZFP82;NR2E1;CHD2;ZNF408;ZNF649;SNAPC3;ZNF646;UTY;ZNF644;ZNF641;KDM6A;TGIF1;KDM6B;KLF10;KLF12;DNMT3A;ZNF75D;KLF17;ELF1;CREB1;ELF4;DMRTA1;IRF2;ZNF516;ZNF630;IRF9;CREB5;HDAC5;ZNF197;HLF;CEBPD;ZNF195;PLAG1;SRF;ZBTB49;CEBPG;ZBTB45;ZBTB41;ZBTB40;CIART;IFI16;ZNF629;ZNF506;NRIP1;ZNF746;ZNF623;HES1;E2F5;ZNF189;ZNF286A;IRX1;TCF7L2;PRRX1;ZNF184;FOXJ2;TBX19;KLF3;TBX3;KLF7;REST;KLF6;MEIS1;KLF5;TEF;ZNF616;ZNF615;KLF9;ZNF613;ZNF853;ZNF610;ZNF730;RBMX
GO_Molecular_Function_2021	RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977)	310/1359	7.669488e-04	2.543713e-01	0	0	1.244536e+00	8.927172e+00	ATF2;EHF;BACH1;SOX21;CCAR1;ZNF606;ZNF724;BBX;ZNF844;SOX9;SOX6;HOXA5;SOX4;SOX5;MEF2A;ZNF18;MEF2C;ZNF285;ZNF281;SOX13;RFX3;SOX11;ZNF14;RUNX1;AR;RFX7;RFX4;ZSCAN21;ZNF713;ATF6;ATF3;ATF4;ZNF155;ZNF397;ZNF396;ZNF273;MYNN;TWIST1;ZNF22;GATA3;ZNF24;ZNF25;ZBTB2;PGBD1;DHX36;PRDM16;ZBED1;ZSCAN12;ZNF821;ZNF148;PATZ1;ZNF268;ZSCAN16;ZNF267;ZNF146;STAT5B;JUN;ZNF383;ZNF382;ZNF260;BCL11A;NR2F1;POU6F2;NR1D2;NR1D1;PBX1;FOSL2;SOX30;ZBTB6;ZNF816;ZNF813;CREBRF;SNAI2;RBAK;ZNF136;ZNF256;HOXD8;ZNF134;ZNF254;ZNF253;ZNF251;ZNF490;BHLHE41;ZNF44;HEY1;ZNF41;ZNF280C;TEAD1;ZIK1;ZNF484;ZNF362;TCF12;PROX1;ZEB2;NFX1;PAX9;RARB;ZNF780A;ZNF234;FOXC1;ZNF518B;ZNF518A;ZNF3;ZNF8;ARNTL2;RXRB;PURB;HSF2;ZNF229;ZNF107;ZNF227;ZNF225;HDX;ZNF222;ZNF585A;ZNF343;PURG;ZNF100;ARNT2;ZNF461;ZNF460;STAT2;NFYC;NR1H4;PER1;ZNF71;NFIB;ZNF74;ZNF217;ZNF699;ZNF333;NEUROG2;GZF1;ZNF211;ZFP28;ZNF354B;FOXA1;ZNF570;PRDM4;ZBTB26;ZSCAN9;ZBTB20;RORB;PRDM1;NR3C1;CARF;NR3C2;ZNF81;DACH1;ZFP30;SALL3;ZNF85;ZNF569;ZNF205;ZNF689;PITX2;ZNF322;ZNF442;ZNF441;ZNF320;ZNF561;ZNF681;ZBTB38;ZBTB37;ZBTB34;MITF;ZBTB33;POU3F2;FOXP1;POU3F4;ZNF91;ZNF92;ZNF93;ZNF319;ZNF439;ZNF436;ZNF678;ZNF677;ZNF433;ZNF674;ZNF430;DLX1;DLX2;ZNF670;DLX5;DLX6;GLIS3;NPAS3;ZKSCAN8;ZKSCAN3;ZNF669;ZKSCAN2;ZNF426;ZNF425;ZNF304;ZNF546;ZKSCAN4;SKIL;ZBTB17;TFAP2B;SMAD1;TFAP2C;SMAD4;ZBTB14;ZBTB10;ESRRG;ZFHX4;ESR1;SMAD5;NFKB1;BCL6;ZNF419;ZNF416;ZNF658;ZNF536;TCF4;ZNF777;ZNF655;ZNF776;SP9;ZNF773;ZSCAN2;NFE2L2;ZNF772;THRB;THRA;ZFP82;NR2E1;CHD2;ZNF408;ZNF649;SNAPC3;TRPS1;ZNF646;UTY;ZNF644;ZNF641;KDM6A;TGIF1;KDM6B;KLF10;KLF12;DNMT3A;VEZF1;ZNF75D;ETV6;KLF17;ELF1;CREB1;RBL1;ELF4;TFDP3;DMRTA1;IRF2;ZNF516;ZNF510;ZNF630;IRF9;CREB5;GTF2A1;HDAC5;ZNF197;HLF;CEBPD;ZNF195;PLAG1;SRF;ZBTB49;CEBPG;ZBTB45;ZBTB41;ZBTB40;CIART;IFI16;ZNF629;ZNF627;ZNF506;NRIP1;ZNF625;ZNF746;ZNF623;HES1;E2F5;ZNF620;ZNF189;ZNF286A;IRX1;TCF7L2;PRRX1;ZNF184;FOXJ2;CDC5L;TBX19;KLF3;TBX3;KLF7;REST;KLF6;MEIS1;KLF5;TEF;ZNF616;ZNF615;KLF9;ZNF614;ZNF613;ZNF853;ZNF610;ZNF730;RBMX
GO_Molecular_Function_2021	protein serine/threonine kinase activity (GO:0004674)	90/344	1.299636e-03	3.080224e-01	0	0	1.479940e+00	9.835192e+00	DYRK4;TRIO;BMPR2;DYRK2;TP53RK;MAST4;MAST2;RPS6KA5;SLK;RPS6KA2;AKT3;CHEK1;PIM1;TLK2;TLK1;CPNE3;STK32A;MAP3K4;MAP3K5;ACVR1;BRD2;CSNK1G3;PRKAB2;CDKL5;CHUK;RIPK2;DAPK3;PRKCA;OXSR1;MASTL;NRBP1;LATS1;PDIK1L;SIK3;ULK2;PRKD1;SIK2;TNIK;ALPK1;SGK1;BRSK1;NIM1K;CAMK2D;PRKAA1;ROCK1;NLK;TTBK2;STK3;MAPK9;MAPK8;STK38L;MAPK1;MAP4K5;PAK3;MAPK6;PAK2;CAMK2G;MAP4K3;MAPK4;MAP4K4;MARK1;PLK4;SRPK2;CDK19;MAP3K1;CSNK1A1;PLK2;NEK7;EIF2AK2;BRAF;EIF2AK4;HIPK1;CDC42BPA;ACVR2B;ACVR2A;HIPK2;CLK1;MAPK10;CDK6;TAOK3;RPS6KB1;STK17A;CDK4;TAOK1;RPS6KB2;NEK10;PKN2;BMPR1B;CDK14;BMPR1A
GO_Molecular_Function_2021	NAD+ ADP-ribosyltransferase activity (GO:0003950)	12/26	1.799415e-03	3.080224e-01	0	0	3.561069e+00	2.250700e+01	PARP6;PARP4;TNKS2;TNKS;PARP2;TIPARP;ZC3HAV1;PARP14;PARP9;PARP15;SIRT1;PARP8
GO_Molecular_Function_2021	transcription regulatory region nucleic acid binding (GO:0001067)	59/212	1.857421e-03	3.080224e-01	0	0	1.607761e+00	1.011051e+01	FOXA1;KDM5A;LIN54;RNF10;BNC2;THRA;ARID4A;ZBTB20;ASH2L;ARID4B;CREB3L2;SOX6;PITX2;SOX4;SOX5;MEF2C;ATMIN;ZNF281;TCF12;SOX13;RFX3;ARID5B;SOX11;PROX1;RUNX1;KLF17;AR;SFPQ;NCOR1;CRY2;ZNF513;ATF6;ATF3;ATF4;YAP1;HDAC5;FOXC1;DLX5;TAF9;GATA3;ERBB4;DHX36;PRDM16;ZNF746;TCF7L2;JUN;SMAD4;ZBTB14;NFYC;HMGA2;NR1D1;PBX1;NFKB1;PER2;PER1;REST;ZNF658;ZNF217;NFE2L2
GO_Molecular_Function_2021	pentosyltransferase activity (GO:0016763)	15/38	3.393148e-03	4.540213e-01	0	0	2.710093e+00	1.540958e+01	PARP6;PARP4;TNKS;PARP2;TIPARP;ZC3HAV1;PARP14;PARP9;PARP15;SIRT1;PARP8;QTRT2;TNKS2;UPP1;LARGE1
GO_Molecular_Function_2021	transcription coregulator binding (GO:0001221)	19/53	3.791835e-03	4.540213e-01	0	0	2.322990e+00	1.295045e+01	SUZ12;ZBTB17;SMAD4;CCNT2;THRB;FAM89B;CTBP2;USP11;ZBTB49;NR1D1;ESR1;PER2;AR;PER1;CNOT2;MTF2;LCOR;ZNF644;VGLL4
GO_Molecular_Function_2021	RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	52/190	4.809117e-03	4.540213e-01	0	0	1.569639e+00	8.377542e+00	RERE;ATF2;LDB1;BHLHE41;ACTB;PITX2;BBS5;BBS4;DACT1;MEF2A;NCOA1;MED1;NCOA2;DTX3L;PROX1;ARID1A;PARP9;COMMD7;SIRT1;NCOR2;AR;BBS10;CREB1;NCOR1;RBL1;MDFIC;FIZ1;ZFPM2;ATF4;HDAC5;BEX1;BCL10;MIER3;MIER1;NRIP1;RBBP8;HES1;TP53BP1;PPARGC1A;SMARCE1;ARNT2;TCF7L2;JUN;PRRX1;RNF25;NR1H4;TRIP4;TBX3;HIPK2;ID2;TACC1;NFE2L2
GO_Molecular_Function_2021	DNA-binding transcription repressor activity, RNA polymerase II-specific (GO:0001227)	67/256	4.940266e-03	4.540213e-01	0	0	1.477753e+00	7.847364e+00	ZBTB26;BHLHE41;ZBTB20;PRDM1;NR3C1;BACH1;DACH1;HEY1;TRPS1;ZNF85;ZNF724;TGIF1;KLF12;ZNF281;ZBTB37;SOX13;MITF;ZBTB34;PROX1;ZBTB33;FOXP1;ETV6;ZEB2;NFX1;ZNF439;ERF;ZNF436;ATF3;ZNF674;ZBTB49;ZBTB45;GATA3;ZNF3;ZNF25;ZBTB2;IFI16;PRDM16;ZKSCAN3;ZNF669;ZNF746;ZNF425;HES1;PATZ1;ZNF148;SKIL;ZNF620;ZNF343;IRX1;ZBTB17;JUN;TFAP2C;ZBTB14;BCL11A;NR2F1;NR1D1;NFKB1;TBX3;SOX30;REST;ZBTB6;BCL6;ZNF614;SNAI2;ZNF217;ZNF536;ZNF134;GZF1
