Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
C1_L001_R1_001	(1, 35.88926767332541)	(2, 35.97982932509753)	(3, 36.133743069082136)	(4, 36.179098683640746)	(5, 36.23730608107483)	(6, 36.22663321253614)	(7, 36.192850504696736)	(8, 36.25313140476281)	(9, 36.265062696061904)	(10, 36.28058550223231)	(15, 36.28094022726474)	(20, 36.237229945749675)	(25, 36.13987796182734)	(30, 36.087431934763174)	(35, 36.04589162794195)	(40, 36.01110851953045)	(45, 35.957253569231696)	(50, 35.93361421395622)	(55, 35.90304094698842)	(60, 35.8774576669865)	(65, 35.836838528872065)	(70, 35.822193481516685)	(75, 35.78416696666248)	(80, 35.74576114465979)	(85, 35.65808171493038)	(90, 35.623431433128744)	(95, 35.643538292928895)	(100, 35.583050868090055)	(105, 35.51516453571362)	(110, 35.46120169343467)	(115, 35.38895932284931)	(120, 35.31458038520604)	(125, 35.216073049436474)	(130, 35.06166037193226)	(135, 34.96211145236737)	(140, 34.79097749099347)	(145, 34.6960222722645)	(150, 34.56784508067933)
C1_L001_R2_001	(1, 35.16815285800385)	(2, 35.743685258122994)	(3, 35.795434556044015)	(4, 35.82369385793272)	(5, 35.82790614161079)	(6, 35.8068394608774)	(7, 35.803258506197075)	(8, 35.873385731898715)	(9, 35.89492683504558)	(10, 35.88126802685342)	(15, 35.86164780063861)	(20, 35.83166314512363)	(25, 35.75529428607187)	(30, 35.74888241909529)	(35, 35.68333673124302)	(40, 35.59808956152763)	(45, 35.56989936244495)	(50, 35.54492754894899)	(55, 35.49220369553427)	(60, 35.52161105299991)	(65, 35.41073634887991)	(70, 35.31264151232891)	(75, 35.278546150304436)	(80, 35.27810261721045)	(85, 35.34674576581103)	(90, 35.2516002201815)	(95, 35.2543559710031)	(100, 35.09813841128723)	(105, 35.0701495811492)	(110, 35.024835208143415)	(115, 34.92370792043489)	(120, 34.77115700409613)	(125, 34.7697842933897)	(130, 34.72610913896529)	(135, 34.646824774502264)	(140, 34.55014013682853)	(145, 34.30477932840076)	(150, 34.18465139386786)
C1_R1	(1, 36.04115785254591)	(2, 36.10727753799759)	(3, 36.25682447061801)	(4, 36.29805586747076)	(5, 36.346912671068154)	(6, 36.33483668544526)	(7, 36.30729316812015)	(8, 36.36673539327335)	(9, 36.37518466328217)	(10, 36.390064117168976)	(15, 36.38966781826925)	(20, 36.35140179937708)	(25, 36.27658265234385)	(30, 36.23660568439554)	(35, 36.203660090032045)	(40, 36.18676485262584)	(45, 36.15772987081977)	(50, 36.14972148536325)	(55, 36.141267193469155)	(60, 36.133846146780094)	(65, 36.11024417736473)	(70, 36.10835920134495)	(75, 36.083960298718836)	(80, 36.063010758970016)	(85, 35.99255112014339)	(90, 35.96862848850276)	(95, 36.01808539949943)	(100, 35.98551788425086)	(105, 35.94352321188635)	(110, 35.916752256194)	(115, 35.87134405837948)	(120, 35.829199422428744)	(125, 35.767239359525995)	(130, 35.65586425385095)	(135, 35.611245316946615)	(140, 35.50640664401662)	(145, 35.50989551750963)	(150, 36.2573924998575)
C1_R2	(1, 35.40013132017146)	(2, 35.975980280626075)	(3, 36.03257532589027)	(4, 36.060359049673934)	(5, 36.05731364204091)	(6, 36.0335612971963)	(7, 36.046448579871964)	(8, 36.11431415966965)	(9, 36.13631460761659)	(10, 36.12017732163953)	(15, 36.10791830777734)	(20, 36.0813880211722)	(25, 36.0122742603434)	(30, 36.01345592005311)	(35, 35.957230873779146)	(40, 35.89449871422677)	(45, 35.886326539500736)	(50, 35.882953621129026)	(55, 35.85331955325444)	(60, 35.898915006204845)	(65, 35.811232677294335)	(70, 35.734005960443554)	(75, 35.7219576565203)	(80, 35.72635123805647)	(85, 35.81658842102187)	(90, 35.73820808322779)	(95, 35.75661820909693)	(100, 35.62013427374605)	(105, 35.61504345408725)	(110, 35.59096592186366)	(115, 35.51269261118932)	(120, 35.38077933989005)	(125, 35.40188792681001)	(130, 35.37933015442742)	(135, 35.318845002655976)	(140, 35.24803134083779)	(145, 35.04802619436835)	(150, 36.01406143799516)
C2_L001_R1_001	(1, 36.006320701381554)	(2, 36.04712598940205)	(3, 36.20785311689554)	(4, 36.25803819987344)	(5, 36.293897689543634)	(6, 36.27938134664847)	(7, 36.22798869237974)	(8, 36.30782791763649)	(9, 36.3226815825988)	(10, 36.33405983528959)	(15, 36.33192267576555)	(20, 36.2883640347782)	(25, 36.18453359934904)	(30, 36.12825856117723)	(35, 36.07520844868799)	(40, 36.03967240230925)	(45, 35.988684162000624)	(50, 35.96449741996935)	(55, 35.93421904799399)	(60, 35.909204434923126)	(65, 35.870430886315845)	(70, 35.860643280138945)	(75, 35.82328744257831)	(80, 35.76804222611933)	(85, 35.70279304231726)	(90, 35.66989942058579)	(95, 35.69898461902753)	(100, 35.634973441757595)	(105, 35.57258124166137)	(110, 35.51192151649455)	(115, 35.44806029304403)	(120, 35.363014982693954)	(125, 35.25097091014665)	(130, 35.109241546877584)	(135, 35.01235623674658)	(140, 34.810270284460294)	(145, 34.724152704166734)	(150, 34.561371196293315)
C2_L001_R2_001	(1, 35.511507038113734)	(2, 35.987831236571054)	(3, 35.98523607426524)	(4, 35.987918858481365)	(5, 35.97620706942296)	(6, 35.94840413103557)	(7, 35.951623105942325)	(8, 36.034129880282904)	(9, 36.04596995011043)	(10, 36.02702537989964)	(15, 36.00605387483462)	(20, 35.96830795102451)	(25, 35.91128063163043)	(30, 35.886123722105516)	(35, 35.82003380097973)	(40, 35.74637413323519)	(45, 35.71442906644188)	(50, 35.70213776924773)	(55, 35.666614223000536)	(60, 35.70272986984914)	(65, 35.57619847279659)	(70, 35.478345440434545)	(75, 35.43393967514846)	(80, 35.45363291918237)	(85, 35.55109313984598)	(90, 35.48563783441494)	(95, 35.49062197053494)	(100, 35.34745936498091)	(105, 35.32457900768473)	(110, 35.2388816145687)	(115, 35.18704869840788)	(120, 35.03751945683203)	(125, 35.01433741526095)	(130, 34.93759228776908)	(135, 34.88831139158542)	(140, 34.80213980537461)	(145, 34.54202416387501)	(150, 34.46016639343457)
C2_R1	(1, 36.12316514949115)	(2, 36.15064772922562)	(3, 36.30896475076456)	(4, 36.35551880935794)	(5, 36.386368746429014)	(6, 36.37137741043326)	(7, 36.323746171414584)	(8, 36.402998929557356)	(9, 36.415368942167284)	(10, 36.42613295147567)	(15, 36.424706280842685)	(20, 36.386873283925325)	(25, 36.305623042678484)	(30, 36.26218823769941)	(35, 36.219318193702485)	(40, 36.20500934060787)	(45, 36.18484286741885)	(50, 36.17538969178432)	(55, 36.17287581988214)	(60, 36.16809576892615)	(65, 36.14764287219589)	(70, 36.14952851607832)	(75, 36.12236688523636)	(80, 36.084559886154636)	(85, 36.032280417837754)	(90, 36.01174659631963)	(95, 36.07680572405345)	(100, 36.04535551274624)	(105, 36.01044608667771)	(110, 35.978595279273726)	(115, 35.94174905934797)	(120, 35.88877830876664)	(125, 35.811849169480055)	(130, 35.70798572230429)	(135, 35.65841522863464)	(140, 35.51604634675276)	(145, 35.52334602669838)	(150, 36.23874912818137)
C2_R2	(1, 35.68540148483743)	(2, 36.16443407902795)	(3, 36.16768508319399)	(4, 36.1707187490344)	(5, 36.15432597074876)	(6, 36.12599429999978)	(7, 36.13960461913604)	(8, 36.22595343608761)	(9, 36.237925332261554)	(10, 36.22050917465632)	(15, 36.20559891717811)	(20, 36.17258475566601)	(25, 36.12452437378681)	(30, 36.10807889397534)	(35, 36.05173164731384)	(40, 35.998489745476306)	(45, 35.98591534284797)	(50, 35.992644508915554)	(55, 35.97793150458543)	(60, 36.02909885577099)	(65, 35.92558849112902)	(70, 35.846647475895665)	(75, 35.8194333773785)	(80, 35.84248891846415)	(85, 35.95708076408653)	(90, 35.9025460662747)	(95, 35.92029435503791)	(100, 35.795120955649885)	(105, 35.79424064069165)	(110, 35.72925881305606)	(115, 35.69995014596409)	(120, 35.57147483393439)	(125, 35.56904144563216)	(130, 35.51386477257252)	(135, 35.48453490140181)	(140, 35.42781948874188)	(145, 35.21599090469083)	(150, 36.09165605944064)
C3_L001_R1_001	(1, 36.038194400104295)	(2, 36.06939582358073)	(3, 36.22495798158452)	(4, 36.27112295558952)	(5, 36.304487294048265)	(6, 36.290133856794824)	(7, 36.23765087458732)	(8, 36.316602843594595)	(9, 36.3297560755447)	(10, 36.342203143571055)	(15, 36.33977506685246)	(20, 36.29925991760273)	(25, 36.199117084401635)	(30, 36.14587557073121)	(35, 36.0989439198671)	(40, 36.06370355634884)	(45, 36.014480995697674)	(50, 35.981194821384705)	(55, 35.957536898933455)	(60, 35.934054051163486)	(65, 35.89719525646179)	(70, 35.88755623676279)	(75, 35.853902475779044)	(80, 35.80192126109898)	(85, 35.73458819920755)	(90, 35.706931884017514)	(95, 35.736004710982286)	(100, 35.67459155961129)	(105, 35.60508643627902)	(110, 35.53648801447091)	(115, 35.45114646558147)	(120, 35.3342925777965)	(125, 35.170430068575975)	(130, 34.961296961829255)	(135, 34.78136985328554)	(140, 34.49391828315241)	(145, 34.312837908006436)	(150, 34.106651171590535)
C3_L001_R2_001	(1, 35.41053562503884)	(2, 35.98638392644673)	(3, 35.9897414638847)	(4, 35.99491847491574)	(5, 35.98351139088094)	(6, 35.95869518368157)	(7, 35.96485877587829)	(8, 36.04010358428447)	(9, 36.05259506696583)	(10, 36.03594239057324)	(15, 36.0178479833353)	(20, 35.98111903583151)	(25, 35.9237626168882)	(30, 35.90177489851142)	(35, 35.836585384896175)	(40, 35.762869733446834)	(45, 35.73104757858955)	(50, 35.72028032312495)	(55, 35.68591858432673)	(60, 35.72172015879672)	(65, 35.593230914815905)	(70, 35.49487840889269)	(75, 35.45076002984792)	(80, 35.469250400023874)	(85, 35.56780030774111)	(90, 35.49993766675682)	(95, 35.502954137120085)	(100, 35.35308469554282)	(105, 35.327734776659895)	(110, 35.23715805245031)	(115, 35.179971424803696)	(120, 35.02238421179228)	(125, 34.99495207895302)	(130, 34.913522283851016)	(135, 34.85982580873485)	(140, 34.76791487804312)	(145, 34.49482207132847)	(150, 34.40719789494557)
