Sample	Unique Reads	Duplicate Reads
C1_L001_R1_001	43752981.0	35109229.0
C1_L001_R2_001	44895815.0	33966395.0
C1_R1	42455100.0	34178976.0
C1_R2	43198511.0	33435565.0
C2_L001_R1_001	37529162.0	25286177.0
C2_L001_R2_001	38204579.0	24610760.0
C2_R1	36632758.0	24663380.0
C2_R2	36988934.0	24307204.0
C3_L001_R1_001	30101628.0	16648707.0
C3_L001_R2_001	30586484.0	16163851.0
C3_R1	29404382.0	16261589.0
C3_R2	29698934.0	15967037.0
GFP1_L001_R1_001	30244878.0	18721734.0
GFP1_L001_R2_001	30824456.0	18142156.0
GFP1_R1	29503045.0	18295771.0
GFP1_R2	29884399.0	17914417.0
GFP2_L001_R1_001	29921575.0	19779139.0
GFP2_L001_R2_001	30363975.0	19336739.0
GFP2_R1	29275510.0	19302344.0
GFP2_R2	29513362.0	19064492.0
GFP3_L001_R1_001	24882928.0	12920802.0
GFP3_L001_R2_001	25275277.0	12528453.0
GFP3_R1	24301957.0	12617542.0
GFP3_R2	24537396.0	12382103.0
YAF1_L001_R1_001	43081233.0	28452811.0
YAF1_L001_R2_001	44355752.0	27178292.0
YAF1_R1	41855454.0	27673721.0
YAF1_R2	42745561.0	26783614.0
YAF2_L001_R1_001	44964955.0	27806857.0
YAF2_L001_R2_001	46283012.0	26488800.0
YAF2_R1	43702515.0	26970875.0
YAF2_R2	44568797.0	26104593.0
YAF3_L001_R1_001	24317432.0	17981182.0
YAF3_L001_R2_001	24500522.0	17798092.0
YAF3_R1	23812976.0	17581978.0
YAF3_R2	23867159.0	17527795.0
