Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
C1_L001_R1_001	C1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78862210.0	11.8 Gbp	0.0	150.0	47.0	55.48028688982244	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	warn	pass	fail
C1_L001_R2_001	C1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78862210.0	11.8 Gbp	0.0	150.0	47.0	56.92943969675838	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	fail
C1_R1	C1_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76634076.0	11.2 Gbp	0.0	36-150	47.0	55.39976717228551	147.68167600141743	150	pass	pass	warn	pass	fail	warn	pass	warn	warn	pass	fail
C1_R2	C1_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76634076.0	11.2 Gbp	0.0	36-150	47.0	56.369845743737166	147.3114519251201	150	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	fail
C2_L001_R1_001	C2_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62815339.0	9.4 Gbp	0.0	150.0	49.0	59.74521777619016	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	fail
C2_L001_R2_001	C2_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62815339.0	9.4 Gbp	0.0	150.0	49.0	60.82046024202743	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	fail
C2_R1	C2_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61296138.0	9 Gbp	0.0	36-150	48.0	59.76356600745124	147.54422666074004	150	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	fail
C2_R2	C2_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61296138.0	9 Gbp	0.0	36-150	49.0	60.34464028119575	147.67260602127985	150	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	fail
C3_L001_R1_001	C3_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46750335.0	7 Gbp	0.0	150.0	48.0	64.38804678374484	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	fail
C3_L001_R2_001	C3_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46750335.0	7 Gbp	0.0	150.0	48.0	65.42516371408243	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	fail
C3_R1	C3_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45665971.0	6.7 Gbp	0.0	36-150	47.0	64.39013791167366	147.25584213461704	150	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	fail
C3_R2	C3_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45665971.0	6.7 Gbp	0.0	36-150	48.0	65.0351520838206	147.78371646800196	150	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	fail
GFP1_L001_R1_001	GFP1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48966612.0	7.3 Gbp	0.0	150.0	48.0	61.76632586410212	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	fail
GFP1_L001_R2_001	GFP1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48966612.0	7.3 Gbp	0.0	150.0	48.0	62.94994503370592	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	fail
GFP1_R1	GFP1_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47798816.0	7 Gbp	0.0	36-150	48.0	61.72337997741963	147.69873174264401	150	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	fail
GFP1_R2	GFP1_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47798816.0	7 Gbp	0.0	36-150	48.0	62.52121048950714	147.9040262210679	150	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	fail
GFP2_L001_R1_001	GFP2_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49700714.0	7.4 Gbp	0.0	150.0	49.0	60.20351085942646	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	fail
GFP2_L001_R2_001	GFP2_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49700714.0	7.4 Gbp	0.0	150.0	49.0	61.09363896954453	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	fail
GFP2_R1	GFP2_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48577854.0	7.1 Gbp	0.0	36-150	49.0	60.2651360400464	147.7304880120888	150	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	fail
GFP2_R2	GFP2_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48577854.0	7.1 Gbp	0.0	36-150	49.0	60.75476686404032	147.8499697928196	150	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	fail
GFP3_L001_R1_001	GFP3_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37803730.0	5.6 Gbp	0.0	150.0	48.0	65.82135472854986	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	warn	pass	warn
