"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007163","establishment or maintenance of cell polarity","49/1386","234/18903",1.62653431401346e-11,6.80973388177895e-08,5.54724816120875e-08,"667/3480/22836/399/2697/9886/25/23286/23189/4131/5747/4926/10565/22902/1794/54828/83700/9124/2195/4478/5048/23332/10486/57698/56288/23255/3688/56603/84612/4627/2258/7010/117583/2909/4983/51571/10758/55755/5590/126353/9368/7477/6469/3064/23513/7481/286204/9024/26086",49
"GO:0001667","ameboidal-type cell migration","79/1386","492/18903",2.72834422221918e-11,6.80973388177895e-08,5.54724816120875e-08,"10512/8828/9734/84159/4233/8829/2113/9448/9314/3725/7114/2697/9037/27086/4763/79899/9404/25/306/23499/23189/5747/9723/54828/3791/9124/57608/5048/7042/27302/23332/168667/5581/59/3688/4163/5547/8879/4627/8766/3146/57142/253943/4921/4070/7010/23603/152007/3690/5467/10371/493/9353/5578/27286/65979/2475/114757/4041/64094/9368/5339/6469/5979/2523/54910/4902/55698/100126351/619552/575/7481/286204/57449/9922/6899/11156/2324/83481",79
"GO:0030010","establishment of cell polarity","37/1386","150/18903",3.53446395248042e-11,6.80973388177895e-08,5.54724816120875e-08,"3480/2697/25/23286/23189/4131/5747/4926/10565/22902/1794/54828/83700/2195/4478/5048/23332/57698/56288/3688/56603/4627/2258/117583/4983/51571/10758/55755/5590/126353/9368/6469/3064/23513/286204/9024/26086",37
"GO:0010975","regulation of neuron projection development","72/1386","446/18903",1.63862061789402e-10,2.10694573771973e-07,1.71633004640691e-07,"1123/22871/10512/4734/6383/6695/8829/23043/22891/27067/3480/9314/9863/57689/9037/1600/8321/54986/57609/25/2889/23499/23189/4131/9723/4897/22902/26230/466/5048/5780/950/57698/27020/6616/7025/2146/653/4916/2033/2258/57142/140578/2909/157285/10371/9353/3066/627/9175/4915/26115/5605/4920/816/10458/9762/547/85358/5979/54910/1020/3706/84628/23654/7473/126520/5753/9024/129807/26012/85442",72
"GO:0007409","axonogenesis","71/1386","438/18903",1.82261742017277e-10,2.10694573771973e-07,1.71633004640691e-07,"1123/7204/5803/10512/8828/8829/3480/2737/399/23022/288/4853/57689/8301/9037/4781/1600/57609/25/2115/23499/4131/7414/5747/9723/4897/22902/1009/26230/5048/57698/27020/56288/3688/6586/2131/84612/334/2258/57142/3918/9201/140578/65059/2909/26053/10371/9353/4983/627/1959/9175/4915/5605/10458/5076/6477/6469/5979/54910/1020/4884/90249/84628/2046/23654/575/7473/9024/1943/8022",71
"GO:0043410","positive regulation of MAPK cascade","77/1386","496/18903",2.51680910346224e-10,2.42452610300195e-07,1.97503282803273e-07,"9867/960/6788/51196/858/8829/23043/3480/10550/4853/3725/11214/5788/5770/25/23286/8412/367/4216/3791/57608/7042/4281/168667/388121/153769/948/2150/5581/27020/59/3624/2146/7164/3569/23008/152110/4916/255324/23236/9821/3146/4921/27347/7010/152007/3690/10371/10392/1956/222643/3553/2651/5578/9175/4915/5605/4920/5590/2264/7477/5979/54910/151/5345/2914/10347/54550/1464/2046/5148/3965/246/25759/7161/6899/2324",77
"GO:0061564","axon development","75/1386","490/18903",8.3125429493362e-10,6.86378546388046e-07,5.59127888907982e-07,"1123/7204/5803/10512/9315/8828/8829/3480/2737/399/23022/288/9314/4853/3725/57689/3371/8301/9037/4781/1600/57609/25/2115/23499/4131/7414/5747/9723/4897/22902/1009/26230/5048/57698/27020/56288/3688/6586/2131/84612/334/2258/57142/3918/9201/140578/65059/2909/26053/10371/9353/4983/627/1959/9175/4915/5605/10458/5076/6477/6469/5979/54910/1020/4884/90249/84628/2046/23654/575/7473/9024/1943/8022",75
"GO:0034329","cell junction assembly","68/1386","430/18903",1.29736648551902e-09,9.37347285787491e-07,7.63568459174549e-07,"81671/22871/1500/92737/667/8829/27067/3556/9448/2697/2824/324/8321/3915/9076/342184/25/2889/5583/23499/4131/7414/5747/4897/54828/3791/1009/83700/23332/27020/56288/79977/23136/22998/4916/84612/2258/7010/23603/3690/4088/10686/4983/627/3553/5578/1006/27286/4915/23396/261734/5339/9379/54549/79778/85358/1020/4884/22941/84628/1636/9080/23654/575/7481/94030/11187/375790",68
"GO:0031589","cell-substrate adhesion","61/1386","369/18903",1.61997662310622e-09,1.01336291275808e-06,8.25491223596226e-07,"8910/960/3696/7402/6695/8829/9448/1021/6789/2824/5295/56477/4763/3915/9404/4739/342184/25/55604/23499/23189/7414/5747/9723/3694/84168/54828/3791/83700/5921/23332/4289/948/5581/3688/22998/25890/4070/7010/23603/81/3690/5467/4088/2651/1435/5590/10319/11093/79778/25992/2523/1020/55698/100126351/6614/84628/246/8174/3682/10232",61
"GO:0031346","positive regulation of cell projection organization","59/1386","352/18903",1.75322303245342e-09,1.01336291275808e-06,8.25491223596226e-07,"22871/51196/57451/8829/10602/27067/3480/9863/5295/9037/324/8321/4739/25/55604/2889/23499/4131/22902/54828/26230/466/5048/950/57698/2150/27020/2146/653/4916/2033/140578/23603/153241/2909/26053/9353/6101/627/9175/2475/4915/5605/4920/816/10458/9696/3064/5979/3706/23580/64787/23654/9001/7473/126520/5753/5064/375790",59
