"seqnames","start","end","width","strand","Conc","Conc_YAF","Conc_GFP","Fold","p.value","FDR"
"5",14175785,14192483,16699,"*",8.68540227480883,9.43168568244961,7.05292604201978,2.24255436659951,4.40709211734091e-26,3.48997624772226e-22
"17",48235082,48245289,10208,"*",7.69553708505441,8.44898225178323,6.02522897149841,2.25182733031727,1.67563907502612e-22,6.63469291756594e-19
"3",181607226,181643760,36535,"*",9.70943477301408,10.3952277469915,8.35620242751801,1.9323332993878,8.59026263295459e-22,2.24747203261792e-18
"1",85443665,85457691,14027,"*",8.45846543941987,9.17510046497138,6.97106821410481,2.07195211867467,1.13523022230984e-21,2.24747203261792e-18
"10",62033556,62053304,19749,"*",9.21797527640322,9.91216495602229,7.82971269499456,1.96390896016144,1.37458941899885e-20,2.17707472181037e-17
"1",118112830,118125916,13087,"*",8.5873234881655,9.29266572888804,7.15084707924437,2.01196171167294,2.03876236867858e-20,2.69082653292761e-17
"6",113117792,113124438,6647,"*",7.04917591953191,7.84376155900213,5.13552975080516,2.45207377129795,3.96719055728255e-20,4.48802600330293e-17
"17",13536417,13551040,14624,"*",8.71936472149181,9.39488820062959,7.40758555138131,1.87916199182134,9.4342871001416e-20,9.33876494325267e-17
"1",118127341,118150399,23059,"*",9.10643731610379,9.76314120063848,7.86695042430533,1.7970420974965,3.12871586443552e-19,2.75292232560721e-16
"15",60368360,60403749,35390,"*",10.3375006318363,11.0079770450062,9.04556082400132,1.85177224586143,4.34824373652527e-19,3.44337421495436e-16
"17",20181987,20193457,11471,"*",8.25855908200484,8.92735916492959,6.97313364623207,1.84088152154017,1.77615658559905e-18,1.27867127285081e-15
"3",114495188,114501594,6407,"*",7.38372848759914,8.11694506138308,5.81736633212838,2.11916524558565,7.25154434297295e-18,4.6733845515168e-15
"3",197288078,197313043,24966,"*",9.48724483718718,10.1292960333553,8.30102779245236,1.73116750391632,7.67192816892516e-18,4.6733845515168e-15
"6",56533272,56545811,12540,"*",8.07968063417613,8.75331590754893,6.7753638750888,1.85961097934827,8.90518618762566e-18,5.03715495855769e-15
"15",55907449,55913303,5855,"*",7.20855156019889,7.95187567459467,5.5913691722056,2.15846286220068,1.53118417885153e-17,8.08363167488353e-15
"10",62580047,62588467,8421,"*",7.77962657676787,8.45985814325505,6.44902736112456,1.87939300845574,2.08898210491748e-17,1.00297381071939e-14
"5",88658008,88696757,38750,"*",10.0349701421759,10.6904749200954,8.79993793496801,1.78109321431409,2.15311968458513e-17,1.00297381071939e-14
"6",17863324,17872640,9317,"*",7.71835750580321,8.41405372830602,6.32369681699798,1.9496870883353,2.43535245032593e-17,1.07141978078506e-14
"17",72501256,72522498,21243,"*",9.43346237534682,10.0736470164602,8.25385421803551,1.71918486621017,4.08330123142544e-17,1.7018769711399e-14
"1",59131226,59157633,26408,"*",9.3320354268549,9.96733756717848,8.16953303996991,1.69949846136144,7.55482628143953e-17,2.99133346613598e-14
"21",15219132,15225041,5910,"*",7.25433156498363,7.97622382934342,5.74246019198685,2.05583466208737,8.3779777324676e-17,3.15929550778147e-14
"3",150231429,150239422,7994,"*",7.7505532438931,8.43639536378798,6.39711890692705,1.89621689103425,9.10848576046606e-17,3.27864085168776e-14
"5",35849571,35865490,15920,"*",8.58693298680294,9.21572742925072,7.44683149131938,1.67281700720918,1.01347552330304e-16,3.38599971945542e-14
"11",96275992,96282164,6173,"*",7.03734198269491,7.78290983902059,5.40858154441718,2.1628052143064,1.02619009050297e-16,3.38599971945542e-14
